DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,extracted_entities,defective_component,defective_part,failure_type,num_parts_replaced,total_cost,cause_of_failure
 REKL FAHRZEUG HAT SCHALTPROBLEME  GRUND FEHLER GETRIEBEOELTEMPERATUR ZU HOCH WIRD ANGEZEIGT - FEHLER IM GETRIEBESTEUERGEREAT  KORRECTUR LOSE KARDANWELLE ANS FAHRZEUG BEFESTIGT / FEHLERSPEICHER MIT UDT AUSGELESEN / GETRIEBEOEL TEMP. MITTELS UDT KONTROLLIERT (I.O.) / FA HRZEUG WARMLAUFEN GELASSEN UND OELSTAND KONTROLLIERT (I.O.) - ES KONNTE KEIN FEHLER FESTGESTELLT WERDEN,AUTO PILOT,"CONTROL,VERIFICATION",AUTOM.TRANSMISSION,0.0,153.6, REKL  VEHICLE HAS SHIFT PROBLEMS   REASON ERROR TRANSMISSION OIL TEMPERATURE TOO HIGH IS DISPLAYED - ERROR IN TRANSMISSION CONTROL UNIT   CORRECTION  LOTS CARDAN SHAFT ATTACHED TO THE VEHICLE / ERROR MEMORY READ WITH UDT / GEAR OIL TEMP. CHECKED USING UDT (OK) / VEHICLE LEFT TO WARM UP AND OIL LEVEL CHECKED (OK) - NO FAULT COULD BE DETECTED,{},N/A,N/A,N/A,N/A,N/A,N/A
 SKARGA HOLOWANIE POJAZDU  CPRZ HOLOWANIE  KORECTA HOLOWANIE,ANS 24H RECOVERY CHARGE,MISCELLANEOUS,FLEXIBLE CONTROL,0.0,224.252632, COMPLAINT  TOWING THE VEHICLE   CPRZ TOWING   CORRECTION  TOWING,{},N/A,N/A,N/A,N/A,N/A,N/A
"COMPLAINT The sliding door is opening with difficulties.
 CAUSE The top lock of the sliding door is blocked and causes the problem. CORRECTION The top lock of the sliding door is for renew.
",LOCK,BLOCKAGE,DOOR LOCK,1.0,27.58,"COMPLAINT The sliding door is opening with difficulties.
 CAUSE The top lock of the sliding door is blocked and causes the problem. CORRECTION The top lock of the sliding door is for renew.",{},N/A,N/A,N/A,N/A,N/A,N/A
REKL Fahrzeug springt nicht an GRUND Fahrzeug springt nicht an - Batterie defekt KORRECTUR 1 BATTERIE A-E,BATTERY LEADS,LOW OUTPUT/EFFICIENCY,BATTERY,1.0,409.9,REKL  Vehicle won't start  REASON Vehicle won't start - battery defective  CORRECTION  1 BATTERY A-E,{},N/A,N/A,N/A,N/A,N/A,N/A
" TIPO DANNO PERDITA OLIO MOTORE  CAUSA PERDITA OLIO MOTORE, CONTROLLO ANOMALIA E RISCONTRATO PERDITA DA UN TAPPO DELL'OLIO SULLA TESTA DEFORMATO  CORREZIONE SOSTITUZIONE TAPPO OLIO SULLA TESTA, LAVAGGIO PARTICOLARI SPORCATI E LAVAGGIO GENERALE TESTA/MOTORE A FINE LAVORAZIONE ( RICHIEDIAMO CHE IL TEMPO IN ECCESSO PER LA SOSTITUZIONE DEL TAPPO CI VENGA RICONOSCIUTO IN ECONOMIA IN QUANTO SI TROVAVA IN UNA POSIZIONE IN CU I AVREMMO DOVUTO SMONTARE LA TESTA PER POTERLO SOSTITUIRE MA SIAMO RIUSCITI A FARLO STACCANDO PARTICOLARI INTERFERENTI )",CYLINDER HEAD PLUGS,DEFORMED,THREADED PLUG,1.0,116.87," DAMAGE TYPE  ENGINE OIL LEAK  CAUSE  ENGINE OIL LEAK, CHECK FAULT AND FIND A LEAK FROM A DEFORMED OIL CAP ON THE HEAD  CORRECTION  REPLACEMENT OF THE OIL CAP ON THE HEAD, WASHING OF DIRTY PARTS AND GENERAL WASHING OF THE HEAD/ENGINE AT THE END OF PROCESSING (WE REQUEST THAT THE EXCESS TIME FOR REPLACING THE CAP BE RECOGNIZED IN ECONOMY AS IT IS IT WAS IN A POSITION WHERE WE WOULD HAVE TO REMOVE THE HEAD TO BE ABLE TO REPLACE IT BUT WE MANAGED TO DO SO BY REMOVING INTERFERING PARTICULARS)",{},N/A,N/A,N/A,N/A,N/A,N/A
"INCIDENT VEHICULE NE DEMARRE PAS CAUSE DEBOITEMENT COSSE BATTERIE SOLUTION CONTROLE MASSE
CONTROLE CONNEXION
DEPOSE REPOSE COSSE DE BATTERIE
REMPLACEMENT UN FUSIBLE",CABLE TERMINAL,CAGE COLLAPSE,ECU-INTERCONNECTION,1.0,51.99,"INCIDENT  VEHICLE DOES NOT START CAUSE  BATTERY TERMINAL DISLOCATION  SOLUTION CONTROL MASS
CONNECTION CONTROL
REMOVAL REFITTING BATTERY TERMINAL
REPLACING A FUSE",{},N/A,N/A,N/A,N/A,N/A,N/A
"SKARGA Glosna praca skrzyni biegow CPRZ Deformacja elementow tocznych lozyska walka wejsciowego 
skrzyni biegow KORECTA Wymiana lozyska walka wejsciowego",INPUT SHAFT BEARINGS,DEFORMED,BALL BEARING,1.0,195.480986,"COMPLAINT  Noisy gearbox operation  CPRZ Deformation of the rolling elements of the input shaft bearing 
gearbox CORRECTION  Replacing the input shaft bearing",{},N/A,N/A,N/A,N/A,N/A,N/A
" INCIDENT FUITE DE CARBURANT  CAUSE DESSERRAGE DES FIXATIONS DES CONDUITES KIT DES 4 TUYAUX DES INJECTEURS  SOLUTION RECHERCHE FUITE DE CARBURANT, D-R 4 CONDUITES TUYAUX DES INJECTEURS, TEST U.DT., LAVAGE MOTEUR APRES REPARATION.",INJECTOR DELIVERY PIPES,LOOSE RETAINER,INJECT.LINE SET,0.0,255.045045," INCIDENT  FUEL LEAK   CAUSE LOOSENING OF THE PIPE FASTENERS 4 INJECTOR PIPES KIT   SOLUTION  FUEL LEAK CHECK, D-R 4 INJECTOR PIPES LINES, U.DT. TEST, ENGINE WASH AFTER REPAIR.",{},N/A,N/A,N/A,N/A,N/A,N/A
"COMPLAINT The vehicle is tilted to the drivers side. Suspension is not level. CAUSE Broken rear spring, left side. CORRECTION Replacing rear spring 5801526306",LEAF SPRINGS REAR AXLE,BREAK,LEAF SPRING,11.0,427.35,"COMPLAINT The vehicle is tilted to the drivers side. Suspension is not level. CAUSE Broken rear spring, left side. CORRECTION Replacing rear spring 5801526306",{},N/A,N/A,N/A,N/A,N/A,N/A
"KLACHT Stranding: Vermogensverlies en gaat niet harder dan 35 km/h
 OORZAAK Software update
 CORRECTIE Systeem uitlezen/storing zoeken contacten en bedrading controleren 
en software update doorvoeren. Proefrit eindcontrole uitvoeren.

Voor storing zoeken en proefrit economy ingezet.",NOX DETECTION SENSOR,INTERFERENCE,SENSOR,0.0,141.3,"COMPLAINT  Stranding: Loss of power and does not go faster than 35 km/h
 CAUSE  Software update
 CORRECTION  Read system/find fault, check contacts and wiring 
and perform software updates. Perform a final test drive inspection.

Used for troubleshooting and test drive economy.",{},N/A,N/A,N/A,N/A,N/A,N/A
 REKL LEITUNG AD BLUE ZUM DOSIERMODUL UNDICHT  GRUND LEITUNG AD BLUE ZUM DOSIERMODUL UNDICHT  KORRECTUR LEITUNG AD BLUE ZUM DOSIERMODUL UNDICHT,PIPES AD-BLUE,FLUID LEAKS,DELIVERY LINE,1.0,253.94, REKL  LINE AD BLUE TO DOSING MODULE LEAKING   REASON LINE AD BLUE TO DOSING MODULE LEAKING   CORRECTION  LINE AD BLUE TO DOSING MODULE LEAKING,{},N/A,N/A,N/A,N/A,N/A,N/A
"RECLAMO MANDO ELEVALUNAS ROTO CAUSA BOTON ELEVALUNAS ROTO
 SOLUCION SUSTITUIR MANDO ELEVALUNAS",WINDOW REGULATOR SWITCH,BREAK,SWITCHGEAR,1.0,55.19,"CLAIM  BROKEN WINDOW REGULATOR CONTROL CAUSE  BROKEN WINDOW REGULATOR BUTTON
 SOLUTION  REPLACE WINDOW REGULATOR CONTROL",{},N/A,N/A,N/A,N/A,N/A,N/A
"REKL Fehler EDC, Motorölstand GRUND Ölstandsensor defekt KORRECTUR Ölstandsensor erneuert",ENGINE OIL LEVEL SWITCH,DEFECTIVE CONTACTS,SENSOR,1.0,195.29,"REKL  Error EDC, engine oil level  REASON Oil level sensor defective  CORRECTION  Oil level sensor replaced",{},N/A,N/A,N/A,N/A,N/A,N/A
TIPO DANNO PERDITA CARBURANTE E CONTAMINAZIONE GRUPPO FRIZIONE CAUSA ROTTURA TUBAZIONE RECUPERO INIETTORI CORREZIONE SOSTITUITO TUBAZIONE RECUPERO E GRUPPO FRIZIONE,INJECTOR RETURN PIPES,FUEL LEAKS,FUEL LINE,2.0,691.08,DAMAGE TYPE  FUEL LEAK AND CLUTCH GROUP CONTAMINATION CAUSE  BROKEN INJECTOR RECOVERY PIPE  CORRECTION PIPE REPLACED RECOVERY AND CLUTCH ASSEMBLY,{},N/A,N/A,N/A,N/A,N/A,N/A
"REKL MOTORKONTROLLE UND AD-BLUE KONTROLLE LEUCHTET IM 
DISPLAY GRUND KEIN MOTORSTART DURCH SCR-FEHLER AD-BLUE LEITUNG, AD-
BLUE LEITUNG UNDICHT KORRECTUR FEHLERSPEICHER AUSLESEN/LèSCHEN, AD-BLUE LEITUNG 
ERNEUERN",PIPES AD-BLUE,FLUID LEAKS,DELIVERY LINE,3.0,302.32,"REKL  ENGINE CHECK AND AD-BLUE CHECK LIGHTS UP 
DISPLAY REASON  NO ENGINE START DUE TO SCR ERROR AD-BLUE CABLE, AD-
BLUE LINE LEAKING CORRECTION  READ/DELETE ERROR MEMORY, AD-BLUE LINE 
RENEW",{},N/A,N/A,N/A,N/A,N/A,N/A
COMPLAINT PIERDERI AER ROATA FATA STG CAUSE JANTA FISURATA CORRECTION INLOCUIT JANTA,WHEEL RIM,DEFECT,DISC WHEEL,1.0,106.637475, COMPLAINT  AIR LEAKS FRONT STG WHEEL  CAUSES  CRACKED RIM  CORRECTION REPLACED RIM,{},N/A,N/A,N/A,N/A,N/A,N/A
"REKL Anhängersteckdose teilweise o.F. GRUND Pin in Steckdose lose KORRECTUR 769110KAB: Pin neu befestigt
769110BEF: Funktionsprüfung Anhängerbetrieb durchgeführt.
Stromkreisprüfung Steckdose durchgeführt.
Verkabelung, Stecker, und Sicherung überprüft.",MULTI-CONDUCTOR PLUG,DEFECTIVE CONTACTS,WIRE/CABLE,0.0,74.43,"REKL  Trailer socket partially o.F. REASON  Pin loose in socket  CORRECTION 769110KAB: Pin reattached
769110BEF: Functional test for trailer operation carried out.
Circuit check of socket carried out.
Wiring, plugs, and fuse checked.",{},N/A,N/A,N/A,N/A,N/A,N/A
"SICAYET EKRAN ARIZA IŞIKLARI YANIYOR NEDEN YAPILAN KONTROLLERDE ARACIN OKSİJEN SENSÖRÜNÜN KISA 
DEVRE SONUCU HATALI ÖLÇÜM YAPTIĞI TEKNİSYENLER 
TARAFINDAN TESPİT EDİLDİ YAPILANIS OKSİJEN SENSÖRÜ DEĞİŞTİRİLDİ.ARIZA GİDERİLDİ",OXYGEN SENSOR,SHORT CIRCUIT,SENSOR,1.0,20.6892,"TEMPERATURE  DISPLAY FAULT LIGHTS ARE ON  WHY CHECKS DECLARED THAT THE VEHICLE'S OXYGEN SENSOR WAS SHORT. 
TECHNICIANS WHO MADE INCORRECT MEASUREMENTS AS A RESULT OF THE CIRCUIT 
DETECTED BY DONE  OXYGEN SENSOR HAS BEEN CHANGED. FAILURE HAS BEEN FIXED",{},N/A,N/A,N/A,N/A,N/A,N/A
"COMPLAINT TRANSMISSION OVERHEAT LIGHT COMING ON DASH 
INTERMITTENTLY UNDER LOAD. CAUSE THERMO FAN HAS INTERNAL ELECTRICAL FAILURE CORRECTION REMOVED X3 BOLTS HOLDING IN THE FAN, REMOVED & 
UNPLUGGED FAN & INSTALLED NEW FAN. RECONNECTED &
TENSIONED X3 BOLTS. ALL OK",ELECTRO CONDIT.FAN,DEFECT,ELECTROFAN,1.0,326.25625,"COMPLAINT TRANSMISSION OVERHEAT LIGHT COMING ON DASH 
INTERMITTENTLY UNDER LOAD. CAUSE THERMO FAN HAS INTERNAL ELECTRICAL FAILURE CORRECTION REMOVED X3 BOLTS HOLDING IN THE FAN, REMOVED & 
UNPLUGGED FAN & INSTALLED NEW FAN. RECONNECTED &
TENSIONED X3 BOLTS. ALL OK",{},N/A,N/A,N/A,N/A,N/A,N/A
" SKARGA Swieci sie blad silnika, ograniczenie mocy  CPRZ Niewlasciwe oprogramwoanie edc silnika  KORECTA Serwisowe dopalenie katalziatora jako naprawa dorazna THD 106643666",ENGINE DRIVE CONTR.UNIT,DEFECT,ECU-ENGINE,0.0,31.71141," COMPLAINT  Engine error, power limitation is on   CPRZ Incorrect engine EDC software   CORRECTION  Service afterburning of the catalytic converter as an emergency repair THD 106643666",{},N/A,N/A,N/A,N/A,N/A,N/A
 COMPLAINT JOURNEY OUT  CAUSE JOURNEY OUT  CORRECTION JOURNEY OUT,ANS 24 HOURS,MISCELLANEOUS,MOTOR HARNESS,0.0,127.931034, COMPLAINT JOURNEY OUT  CAUSE JOURNEY OUT  CORRECTION JOURNEY OUT,{},N/A,N/A,N/A,N/A,N/A,N/A
" SKARGA SWIECI SIE KONTROLKA AWARII UKLADU AEBS  CPRZ BLAD WEZLA LINII CAN  KORECTA DIAGNOSTYKA,SPRAWDZ INSTAL ELEKTR LINII CAN ZE WZGLEDU NA POJAWIENIE SIE BLEDOW,KASOWANIE BLEDOW",ACC SENSOR,DEFECT,SENSOR,0.0,27.027368," COMPLAINT  AEBS FAILURE INDICATOR INDICATOR IS ON   CPRZ CAN LINE NODE ERROR   CORRECTION  DIAGNOSTICS, CHECK THE CAN LINE ELECTRICAL INSTALLATION FOR ANY ERRORS, ERASING THE ERRORS",{},N/A,N/A,N/A,N/A,N/A,N/A
COMPLAINT The pipe is cracked next to fixing place. CAUSE The pipe is cracked next to fixing place. CORRECTION Replacement of pipe.,PIPES,BREAK,WATER PIPE,3.0,27.540303,COMPLAINT The pipe is cracked next to fixing place. CAUSE The pipe is cracked next to fixing place. CORRECTION Replacement of pipe.,{},N/A,N/A,N/A,N/A,N/A,N/A
 REKL LAMDASONDE INTERNE STèRUNG ERN  GRUND LAMDASONDE INTERNE STèRUNG ERN  KORRECTUR LAMDASONDE INTERNE STèRUNG ERN,OXYGEN SENSOR,DEFECTIVE CONTACTS,SENSOR,1.0,143.82,REKL  LAMDA PROBE INTERNAL DISTURBANCE ERN   GROUND LAMDA PROBE INTERNAL DISTURBANCE ERN    CORRECTION  LAMDA PROBE INTERNAL FAILURE ERN,{},N/A,N/A,N/A,N/A,N/A,N/A
"REKL ICC Panne / Motor springt nicht an
Pannenort: 15366 Hoppegarten Industriestr. 18
Einsatzzeit: 16:00 - 17:15 Uhr
Monteur: Hr. Miers
Gefahrene Gesamt Km: 32 Km GRUND Batterie hat zu geringe Startleistung KORRECTUR Fahrt zur Aussenmontage, Befund, Starthilfe",ANS 24 HOURS,LOW OUTPUT/EFFICIENCY,BATTERY,0.0,137.52,"REKL  ICC breakdown / engine won't start
Breakdown location: 15366 Hoppegarten Industriestr. 18
Operating time: 4:00 p.m. - 5:15 p.m
Fitter: Mr. Miers
Total km driven: 32 km REASON  Battery has insufficient starting power  CORRECTION Trip to external assembly, findings, starting aid",{},N/A,N/A,N/A,N/A,N/A,N/A
"SKARGA Huczenie z prawej strony przód CPRZ Huczy łożysko koła przód KORECTA Weryfikacja problemu, demontaż koła, wymiana łożyska , pierścienia 
zabezpieczającego łożysko, korka piasty i nakrętki piasty",BEARINGS,TOO LOOSE/FLEXIBLE,WHEEL BEARINGS,4.0,127.76,"COMPLAINT  Roaring noise from the right front  CPRZ Front wheel bearing noise  CORRECTION  Verification of the problem, disassembly of the wheel, replacement of the bearing and ring 
bearing protection, hub cap and hub nut",{},N/A,N/A,N/A,N/A,N/A,N/A
"REKL Gemeldeter Schaden Fahrzeugund spring nicht mehr an und Motor dreh 
nicht mehr (blockiert) GRUND Riss am dritten Zylinder in der Zylinderwand am Motorblock KORRECTUR WPA Nummer: 106098102 
Am Eingeschleppten Fahrzeug Zerlegungsarbeiten an Motor 
durchführen.
Mit Schadensbestimmung und einer WPA Eröffnung 106098102:
Mit Foto Dokumentation.
Fahrzeug Front demontieren.
Zylinderkopf demontieren. Riss am dritten Zylinder in der Zylinderwand 
am Motorblock.
 Laut WPA Motor erneuern.
Motor am Fahrzeug aus- und einbauen. Diverse zusätzlichen Arbeiten 
durchführen zum Motor aus- und einbauen.
Motor Alt Teil wieder zusammenbauen.
Flüssigkeitsstände prüfen und auffüllen.
Motorwäsche am Fahrzeug durchführen.
Parameter Rest durchführen mit Easy Station.
Für die Probefahrt Dieselkraftstoff auftanken.
Funktionsprüfung und Probefahrt durchführen.
Abschließend eine Dichtheitskontrolle durchführen.
",ENGINE BLOCK,CRACKED,CRANKCASE,12.5,11834.09,"REKL  Reported damage to vehicle and no longer starts and engine turns 
no longer (blocked) REASON  Crack on the third cylinder in the cylinder wall on the engine block  CORRECTION WPA number: 106098102 
Dismantling work on the engine of the towed vehicle 
carry out.
With damage determination and a WPA opening 106098102:
With photo documentation.
Dismantle the front of the vehicle.
Dismantle the cylinder head. Crack in the cylinder wall on the third cylinder 
on the engine block.
 According to the WPA, replace the engine.
Remove and install engine on vehicle. Various additional work 
carry out to remove and install the engine.
Reassemble the old engine part.
Check fluid levels and top up.
Carry out an engine wash on the vehicle.
Perform parameter rest with Easy Station.
Fill up with diesel fuel for the test drive.
Carry out a functional test and a test drive.
Finally carry out a leak check.",{},N/A,N/A,N/A,N/A,N/A,N/A
 RECLAMO RUEDA REPUESTO SE HA CAIDO A LA CARRETERA  CAUSA VERIFICAR ESTADO SOPORTE.  SOLUCION SUSTITUIR SOPORTE RUEDA REPUESTO,WINCH ASSEMBLY,LOW OUTPUT/EFFICIENCY,WHEEL WINCH,1.0,238.52, CLAIM  SPARE WHEEL HAS FALLEN ON THE ROAD   CAUSE CHECK SUPPORT STATUS.  SOLUTION  REPLACE SPARE WHEEL SUPPORT,{},N/A,N/A,N/A,N/A,N/A,N/A
"COMPLAINT Side load door will not open CAUSE Inspect and find bottom roller come adrift and latches loose CORRECTION Refit and secure runner, secure and adjust latches, Test 
operation of door, all okay.",SLIDING DOOR RUNNERS,LOOSE RETAINER,HEXAGON BOLT,0.0,56.895349,"COMPLAINT Side load door will not open CAUSE Inspect and find bottom roller come adrift and latches loose CORRECTION Refit and secure runner, secure and adjust latches, Test 
operation of door, all okay.",{},N/A,N/A,N/A,N/A,N/A,N/A
"COMPLAINT Uniká chladiaca zmes CAUSE kontrola úniku chladaicej zmesi - únik zo spodnej hadice chladiča - 
kontrola úniku chladiacej zmesi CORRECTION V-N chladiacej zmesi, D-M spodnej hadice chladiča, doplnenie 
chladaicej zmesi",RADIATOR SLEEVES,CRACKED,WATER HOSE,3.0,108.83,"COMPLAIN  Coolant is leaking CAUSE  coolant leakage check - leakage from the lower hose of the radiator - 
coolant leak check CORRECTION  V-N of the cooling mixture, D-M of the lower hose of the radiator, replenishment 
cooling mixture",{},N/A,N/A,N/A,N/A,N/A,N/A
 REKL AUTO F HRT NUR NOCH 30 KM/H  GRUND AD-BLUELEITUNG DEFEKT  KORRECTUR DIAGNOSE GESTELLT. AD-BLUELEITUNG ERNEUERT LEIUTNG KAM ERST AM 13.05.2022,PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,2.0,208.83, REKL  CAR ONLY DRIVES 30 KM/H   REASON AD BLUE LINE DEFECTIVE   CORRECTION  DIAGNOSIS MADE. AD BLUE LINE RENEWED LINE ONLY CAME ON 05/13/2022,{},N/A,N/A,N/A,N/A,N/A,N/A
"COMPLAINT Non starting CAUSE Short circuit on loom to gearbox due to wire loom chaffing against body CORRECTION R&I grill and repair damaged wiring on chassis loom
-EXTRA LABOUR for carry out it test and open and repair damaged wiring 
in chassis loom 3.00hrs",CHASSIS LOOM,SHORT CIRCUIT,FRAME WIRING,61.0,134.968263,"COMPLAINT Non starting CAUSE Short circuit on loom to gearbox due to wire loom chaffing against body CORRECTION R&I grill and repair damaged wiring on chassis loom
-EXTRA LABOUR for carry out it test and open and repair damaged wiring 
in chassis loom 3.00hrs",{},N/A,N/A,N/A,N/A,N/A,N/A
 COMPLAINT BONNET NOT STAYING OPEN  CAUSE OS BONNET SPRING CRACKED  CORRECTION R&R OS BONNET SPRING,DAMPER,CRACKED,SPRING,1.0,85.337209, COMPLAINT BONNET NOT STAYING OPEN  CAUSE OS BONNET SPRING CRACKED  CORRECTION R&R OS BONNET SPRING,{},N/A,N/A,N/A,N/A,N/A,N/A
REKL Handbremse ohne Funktion / blockiert GRUND Handbremsseile fest/blockieren KORRECTUR Handbremsseile links und rechts ersetzen,REAR CABLE,BLOCKAGE,HAND BRAKE CABLE,4.0,89.08,REKL  Handbrake not working / blocked  REASON Handbrake cables stuck/blocked  CORRECTION  Replace handbrake cables on the left and right,{},N/A,N/A,N/A,N/A,N/A,N/A
 REKL EPS Fehlermeldung im Display - Aktualisierung notwendig  GRUND EPS SteuergerÄt sendet Fehlermeldung  KORRECTUR Update EPS durchfÜhren,ELE./MECH/POWER STEERING,DEFECT,POWER STEERING,0.0,34.5, REKL  EPS error message in the display - update necessary   REASON EPS control unit sends error message   CORRECTION  Perform update EPS,{},N/A,N/A,N/A,N/A,N/A,N/A
SKARGA Swieci sie kontrolka Adblue CPRZ Usterka elektryczna grzalki w przewodzie doprowadzajacym Adblue KORECTA Wymiana przewodu doprowadzajacego Adblue,PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,163.988813,COMPLAINT  Adblue light is on  CPRZ Electrical failure of the heater in the Adblue supply cable  CORRECTION  Replacement of the Adblue supply cable,{},N/A,N/A,N/A,N/A,N/A,N/A
"SKARGA Przetartl sie mieszek lewarka zmainy biegow CPRZ Przetarty/pekniety mieszek lewarka zmainy biegow,wada 
materialowa KORECTA Wymiana mieszka lewarka zmainy biegow",SHIFT LEVER BOOT,BREAK,GEAR LEVER KNOB,1.0,18.073825,"COMPLAINT  The gear lever bellows have worn out  CPRZ Gear lever bellows worn/cracked, defective 
material CORRECTION  Replacement of the gear lever housing",{},N/A,N/A,N/A,N/A,N/A,N/A
SKARGA HOLOWANIE POJAZDU CPRZ HOLOWANIE POJAZDU KORECTA HOLOWANIE POJAZDU,ANS 24H RECOVERY CHARGE,MISCELLANEOUS,VALVE HOUSING,1.0,92.841163,COMPLAINT  TOWING THE VEHICLE CPPR  TOWING THE VEHICLE  CORRECTION TOWING A VEHICLE,{},N/A,N/A,N/A,N/A,N/A,N/A
"SKARGA Brak mocy, swieci sie kontrolka filtra czastek stalych CPRZ Uszkodzony podgrzewacz przewodu ukladu AdBlue KORECTA Wymiana przewodu z podgrzewaczem",PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,1.0,118.888144,"COMPLAINT  No power, particulate filter light is on  CPRZ Damaged AdBlue system line heater  CORRECTION  Replacing the heater cable",{},N/A,N/A,N/A,N/A,N/A,N/A
"REKL Ölflecken unter dem Fahrzeug GRUND Ölverlust am Antriebsflansch, Simmering undicht KORRECTUR Hinterachse angehoben, Kardanwelle ab-, angebaut, Flansch vom 
Differenzial ab-, angebaut und Simmering erneuert, Ölstand der 
Hinterachse kontrolliert",FLANGE SEAL,OIL LEAKS,SHAFT SEAL,2.5,149.21,"REKL  Oil stains under the vehicle  REASON Oil loss on the drive flange, simmering leaking  CORRECTION  Rear axle raised, cardan shaft removed, installed, flange removed 
Differential removed, installed and Simmering replaced, oil level 
Rear axle checked",{},N/A,N/A,N/A,N/A,N/A,N/A
REKL Motorkontrolle leuchtet dauerhaft GRUND Survey abarbeiten und RÜcksprache THD 105918106 KORRECTUR TURBOLADER A-E,TURBO CHARGER,BLOCKAGE,EXCHANGE TURBOBLOWER,15.0,1433.75,REKL  Engine control lights up permanently  REASON Process survey and contact THD 105918106  CORRECTION  TURBOCHARGER A-E,{},N/A,N/A,N/A,N/A,N/A,N/A
"REKL Fehleranzeige EDC GRUND Leitungen Differenzdrucksensor verschmutzt KORRECTUR Partikelfilter und Leitungen A-E, gereinigt, Regeneration durchgeführt",PIPES,"DIRT,FOREIGN MATTERS",PIPE,0.0,359.58,"REKL  Error display EDC  REASON Differential pressure sensor lines dirty  CORRECTION Particle filter and lines A-E, cleaned, regeneration carried out",{},N/A,N/A,N/A,N/A,N/A,N/A
SKARGA WERYFIKACJA (WYCIEK P YNU CH ODNICZEGO) CPRZ ZDEFORMOWANE USZCZELNIENIE CH ODNICY NA LACZENIACH KORECTA WYMIANA NA NOWA CHLODNICE WODY,RADIATOR,DEFORMED,WATER RADIATOR,2.0,400.40842,COMPLAINT  VERIFICATION (REFRIGERANT FLUID LEAK)  CPRZ DEFORMED COOLING DIFFICULTY SEAL AT THE JOINTS  CORRECTION  REPLACEMENT OF A NEW WATER COOLER,{},N/A,N/A,N/A,N/A,N/A,N/A
 COMPLAINT VEHICLE SPEED SOMETIMES SIMOTANEOUSLY IS INCREASING ONLY ON IC  CAUSE REAR RIGHT ABS SENSOR DEFECTIVE CONTACTS  CORRECTION REPLACE SENSOR,SENSOR,DEFECTIVE CONTACTS,SENSOR,1.0,118.41, COMPLAINT VEHICLE SPEED SOMETIMES SIMOTANEOUSLY IS INCREASING ONLY ON IC  CAUSE REAR RIGHT ABS SENSOR DEFECTIVE CONTACTS  CORRECTION REPLACE SENSOR,{},N/A,N/A,N/A,N/A,N/A,N/A
" TIPO DANNO CONTROL ROOM: 8001729296 SPIA MOTORE ACCESA  CAUSA CENTRALINA MOTORE IN ERRORE  CORREZIONE DIAGNOSI INIEZIONE, CONTROLLO IMPIANTO, CANCELLAZION ERRORI, AZZERAMENTO PARAMETRI, RIGENERAZIONE FORZATA, PROVA VETTURA",ENGINE DRIVE CONTR.UNIT,DEFECT,ELECTR. CONTR. UNIT,0.0,73.5," DAMAGE TYPE  CONTROL ROOM: 8001729296 ENGINE LIGHT ON   CAUSE ENGINE ECU IN ERROR   CORRECTION  INJECTION DIAGNOSIS, SYSTEM CHECK, ERROR CLEARING, PARAMETER RESETTING, FORCED REGENERATION, VEHICLE TEST",{},N/A,N/A,N/A,N/A,N/A,N/A
 TIPO DANNO GUASTO SCR - SISTEMA DOSAGGIO AD BLUE  CAUSA MALFUNZIONAMENTO SOFTWARE CENTRALINA EDC  CORREZIONE ESEGUITO TEST UDST CON PRIMO RIEMPIMENTO COME DISPOSTO DA SZM SIG. TORAROLO A SEGUITO THD 107062648,ENGINE DRIVE CONTR.UNIT,INCORRECT ADJUSTMENT,ELECTR. CONTR. UNIT,0.0,60.0, DAMAGE TYPE  SCR FAULT - AD BLUE DOSING SYSTEM   CAUSE EDC CONTROL UNIT SOFTWARE MALFUNCTION   CORRECTION  UDST TEST PERFORMED WITH FIRST FILLING AS ORDERED BY SZM MR. TORAROLO FOLLOWING THD 107062648,{},N/A,N/A,N/A,N/A,N/A,N/A
" TIPO DANNO SPIA MOTORE ACCESA  CAUSA ERRORE IMPIANTO ADBLUE  CORREZIONE LETTURA MEMORIA GUASTI CENTRALINA MOTORE, ESEGUITO PROCEDURA GUIDATA 001102-1F. SOSTITUZIONE SONDA E TUBAZIONE RISCALDANTE ADLBUE. P ROVA IMPIANTO ADBLUE.",PIPES AD-BLUE,LOW OUTPUT/EFFICIENCY,DELIVERY LINE,1.0,166.93," DAMAGE TYPE  ENGINE LIGHT ON  CAUSE  ADBLUE SYSTEM ERROR   CORRECTION READING FAULT MEMORY ENGINE ECU, WIZARD PROCEDURE 001102-1F EXECUTED. REPLACEMENT PROBE AND ADLBUE HEATING PIPE. TEST ADBLUE SYSTEM.",{},N/A,N/A,N/A,N/A,N/A,N/A
