DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost
"******************************REKL************************************ Die EDC Kontrolle leuchtet im Fahrzeugdisplay und das Fahrzeug geht 
zeitweise aus. ********************************GRUND********************************* Die Kraftstofftankpumpe hat zeitweise einen schadhaften Kontakt. ******************************KORRECTUR******************************* Die UDT Station wurde vorbereitet.
Diagnose an der EDC Anlage wurde durchgeführt.
Die Fehlerspeicher wurden ausgelesen und gelöscht.
Die Kraftstoffdrücke am Fahrzeug wurden mit mehreren 
Manometern in verschiedenen Lastzuständen geprüft.
Der Kraftstofftank wurde aus-, eingebaut, gesäubert und geprüft.
Erschwerter Ausbau durch feste Tankbänder.
Der Kraftstofftankgeber wurde ausgebaut, geprüft und erneuert.
Die Parameter der Kraftstoffanlage wurden bei mehreren 
Probefahrten geprüft.
Diagnose nach der Reparatur an der Kraftstoffanlage wurde 
durchgeführt.",FEED PUMP ASSY,DEFECTIVE CONTACTS,LEVEL SENSOR,12.0,825.98
"* ******************************TIPO_DANNO****************************** VEICOLO NON PARTE (SOPRATUTTO A CALDO, IL MOTORINO IN FASE DI AVVIAMENTO, STACCA E SGANCIA) * ********************************CAUSA********************************* CONTATTI CONNESSIONI DIFETTOSI MOTORINO AVVIAMENTO * ******************************CORREZIONE****************************** VERIFICA GUASTO-CONTROLLO IMPIANTO ELETTRICO-RISCONTRATO E SOSTITUITO MOTORINO AVVIAMENTO GUASTO-APPENA SOSTITUITO ABBIAMO RISCONTRA TO CHE ERA DIFETTOSO, SMONTATO NUOVAMENTE E RIMONTATO UN ALTRO MOTORINO RIGENERATO-VERIFICA FINALE CORRETTO FUNZIONAMENTO",STARTER MOTOR ASSY,DEFECTIVE CONTACTS,EXCHANGE STARTER,1.0,230.26
* ******************************COMPLAINT******************************* PANNE BOITE DE VITESSE * ********************************CAUSE********************************* RUPTURE CABLES DE COMMANDES DE BOITE DE VITESSE * ******************************CORRECTION****************************** REMPLACEMENT DES CALBLES DE COMMANDE DE BOITE DE VITESSE,GEAR CONTROL RODS,BREAK,FLEXIBLE CONTROL,1.0,211.49
"* ******************************SKARGA********************************** PROBLEMY Z WLACZANIEM BIEGOW * ********************************CPRZ********************************** ZDEFORMOWANE LINKI ZMIANY BIEGOW * ******************************KORECTA********************************* WERYFIKACJA USTERKI, WYMIANA LINEK ZMIANY BIEGéW",GEAR CONTROL RODS,DEFORMED,FLEXIBLE CONTROL,1.0,200.673684
"* ******************************TIPO_DANNO****************************** Ordine clientcenter n 8001868471 del 17/03/2023, veicolo fermo in strada, veicolo non va in moto * ********************************CAUSA********************************* Connessione in corto circuito * ******************************CORREZIONE****************************** Veicolo non riparabile in strada, inviato traino per ricovero in officina",ANS 24H RECOVERY CHARGE,MISCELLANEOUS,WIRE CONNECTOR,0.0,658.99
******************************COMPLAINT******************************* Uvolněné mlhové světlo ********************************CAUSE********************************* Kontrola závady - Uvolněné mlhové světlo ******************************CORRECTION****************************** Upevnění mlhového světla,FOG LAMP,TOO LOOSE/FLEXIBLE,FRONT FOG LAMP,0.0,21.0
* ******************************INCIDENT******************************** TEMOIN MOTEUR ALLUME AU TABLEAU DE BORD * ********************************CAUSE********************************* TEMPS DE ROULAGE * ******************************SOLUTION******************************** TEMPS DE ROULAGE,ANS 24 HOURS,MISCELLANEOUS,MOTOR HARNESS,40.0,174.5
* ******************************SKARGA********************************** POJAZWIL SI­ BLAD SILNIKA + BRAK MOZLIWOSCI ZMIANY BIEGOW * ********************************CPRZ********************************** ZWARCIE INSTALACJI EL. LINII CAN POD DESKA ROZDZIELCZA * ******************************KORECTA********************************* NAPRAWA INSTALACJI EL LINI CAN POD DESKA RODZIELCZA,CAB LOOM,SHORT CIRCUIT,WIRE/CABLE,0.0,346.630873
******************************TIPO_DANNO****************************** RUMORE PARAURTI ANT ********************************CAUSA********************************* ROTTURA STAFFA ******************************CORREZIONE****************************** SOST. STAFFA PARAURTI ANT DX,"BUMPER RETAINERS,BRACKETS",BREAK,RETAINER,1.0,142.58
"******************************COMPLAINT******************************* ARKA SAĞ TEKERDEN YAĞ KAÇIRDIĞI SÖYLENDİ ********************************CAUSE********************************* YAPILAN KONTROLLERDE SAĞ ARKA PORYA RULMANININ DAĞILDIĞI 
VE YAĞ KAÇIRDIĞI TESPİT EDİLDİ. ******************************CORRECTION****************************** ARKA SAĞ TEKER PORYA RULMANI DEĞİŞTİ.",BEARINGS,BLOCKAGE,WHEEL BEARINGS,5.0,85.37807
******************************SKARGA********************************** STUKI POD POKRYWA SILNIKA ********************************CPRZ********************************** LUZNE MOCOWANIE GORNEJ OSLONY SILNIKA ******************************KORECTA********************************* POPRAWA MOCOWANIA GORNEJ OSLONY SILNIKA,ROCKER TOP COVER,LOOSE RETAINER,RUBBER PLUG,3.0,14.250526
"******************************REKL************************************ Fehlermeldung bei der EPDI ********************************GRUND********************************* Falsche Fahrgestellnummer im ALM hinterlegt, bei der EPDI 
festgestellt. ******************************KORRECTUR******************************* Richtige Fahrgestellnummer im ALM programmiert.",ECU 13-PIN SOCKET TRAILER,INCORRECT ADJUSTMENT,ELECTR. CONTR. UNIT,1.0,126.66
* ******************************TIPO_DANNO****************************** ROTTUTA GOMMINI BARRA STAB. ANT * ********************************CAUSA********************************* ROTTUTA GOMMINI BARRA STAB. ANT * ******************************CORREZIONE****************************** SOST GOMMINI BARRA STAB. ANT,STABILIZER FLEX.SUPPORT,BREAK,RUBBER BUSH,4.0,51.15
* ******************************COMPLAINT******************************* ATTEND TODDINGTON SERVICES M1 N/B * ********************************CAUSE********************************* ATTEND TODDINGTON SERVICES M1 N/B * ******************************CORRECTION****************************** ATTEND TODDINGTON SERVICES M1 N/B,ANS 24 HOURS,MISCELLANEOUS,WIRE/CABLE,0.0,77.790698
"* ******************************RECLAMO******************************* REVISAR PERDIDA DE ACEITE POR EL GRUPO * ********************************CAUSA********************************* RETEN ROTO * ******************************SOLUCION****************************** REVISAR PERDIDA DE ACEITE POR EL GRUPO, DESMONTAR TRANSMISION, DESMONTAR Y SUSTITUIR RETEN DEL GRUPO, PONER A NIVEL, RELLENAR ACEITE",FLANGE SEAL,BREAK,SHAFT SEAL,7.0,86.39
* ******************************INCIDENT******************************** CLIGNOTANT DE RETROVISEUR DROIT NE S ALLUME PAS * ********************************CAUSE********************************* CONTROLE ALIMENTATION ELECTRIQUE ET LAMPE . CONTROLE CONTINUITE FAISCEAU. DEPOSE GARNITURE DE PORTE. CONTROLE FAISCEAU DANS PASSE-PA ROI . CONTACT DEFECTUEUX CONNEXION * ******************************SOLUTION******************************** REPARATION CONNEXION DE RETRO DANS PASSE-PAROI. REMISE EN PLACE COSSE DANS CONNECTEUR,CAB LOOM,DEFECTIVE CONTACTS,CAB WIRING,0.0,95.0
"* ******************************COMPLAINT******************************* EML ON AND LIMP MODE * ********************************CAUSE********************************* RUN DIAGNOSTICS AND WIRING CHECKS TO TRACED FAULT TO SCR CATALYTIC. RAISED THD AND REQUIRE REPLACE SCR CAT AND PM SENSOR * ******************************CORRECTION****************************** REPLACED SENSOR, CAT AND CARRIED OUT FORCED REGEN REF THD 107253269",CATALYZER,LOW OUTPUT/EFFICIENCY,CATALYTIC SILENCER,2.0,1125.310343
* ******************************REKL************************************ FAHRZEUG HAT KüHLWASSERVERLUST * ********************************GRUND******************************** WASSERSCHLAUCH VOM MOTOR ZUM HEIZUNGSKüHLER UNDICHT * ******************************KORRECTUR******************************* SCHLAUCH ERNEUERT / 1 L KüHLWASSER NACHGEFüLLT,HEATER PIPES,FLUID LEAKS,HEATING TUBE,4.0,141.35
* ******************************SKARGA********************************** Halas z prawego przodu * ********************************CPRZ********************************** Wytarta bieznia lozyska przedniej prawej piasty * ******************************KORECTA********************************* Wymiana przedniej prawej piasty,FRT AXLE WHEEL HUBS,SEIZURE,WHEEL HUB SET,1.0,178.709172
"* ******************************REKL************************************ Seilzug Parkentriegelung gerissen * ********************************GRUND******************************** Seilzug Parkentriegelung gerissen * ******************************KORRECTUR******************************* Fehler Parkentriegelung lokalisieren, Seilzug gerissen, Seilzug ersetzen",GEARBOX MANUAL RELEASE,BREAK,CONTROL CABLE,1.0,155.522523
* ******************************COMPLAINT******************************* DOSSIER 8001716432 * ********************************CAUSE********************************* BREAKDOWN * ******************************CORRECTION****************************** ATTEND VEHICLE AT BIGGAR,ANS 24 HOURS,MISCELLANEOUS,ELECTR. CONTR. UNIT,0.0,200.581395
"******************************COMPLAINT******************************* Bilen kan ikke starte ********************************CAUSE********************************* Temperaturføler downstream i katalysator er kortsluttet ******************************CORRECTION****************************** Dossier 8001788508
Kørsel til Emma Gads Gade, Brabrand",ANS 24 HOURS,SHORT CIRCUIT,SENSOR,0.0,41.836461
* ******************************TIPO_DANNO****************************** ACCENSIONE SPIA MOTORE - SPIA INDUCEMENT ACCESA + START E STOP NON DISPONIBILE * ********************************CAUSA********************************* CONTATTI CONNESSIONI DIFETTOSI CENTRALINA MOTORE * ******************************CORREZIONE****************************** VERIFICA GUASTO-CONTROLLO IMPIANTO ELETTRICO-DIAGNOSI IMPIANTO EDC-CONTOLLO DOSATORI-ESEGUITO PROCEDURA GUIDATA E PORTATA A COMPIMEN TO-UPDATE CENTRALINA MOTORE-EEGUITO TEST UDST FALLITO-S-R BATTERIE PER 5 MINUTI-RIESEGUITO TEST UDST-TUTTO OK-AZZERATO MEMORIA GUAST I PROVA SU STRADA E DELIBERA VEICOLO,ENGINE DRIVE CONTR.UNIT,DEFECTIVE CONTACTS,ELECTR. CONTR. UNIT,0.0,126.0
"* ******************************REKL************************************ HINTERACHSE HAT èLVERLUST * ********************************GRUND******************************** SIMMERRING AN DER HINTERACHSE IST UNDICHT * ******************************KORRECTUR******************************* DIAGNOSE ERSTELLT, DEFEKTEN SIMMERRING ERNEUERT, HINTERACHSèL AUFGEFüLLT, FAHRZEUG IM SCHADBEREICH GEREINIGT",FLANGE SEAL,OIL LEAKS,SHAFT SEAL,3.0,200.84
"* ******************************REKL************************************ WASSERVERLUST * ********************************GRUND******************************** WASSERLEITUNG VOM AUSGLEICHBEHAELTER ZUM KUEHLER UNDICHT, GEBROCHEN * ******************************KORRECTUR******************************* KUEHLWASSERSYSTEM ABGEDRUECKT-SCHADENBEFUND DAFUER DIE APO 506010DIC MIT 3 AW VERWENDET KUEHLWASSER ABGELASSEN-AUFGEFUELLT WASSERLEI TUNG VOM AUSGLEICHBEHAELTER ZUM KUEHLER ERNEUERT KUEHLWASSERDICHTE GEPRUEFT FEHLENDEN FROSTSCHUTZ NACHGEFUELLT",PIPES,BREAK,WATER PIPE,2.0,173.22
* ******************************TIPO_DANNO****************************** RUMOROSITA TRASCINAMENTO RUOTE ANT * ********************************CAUSA********************************* ECCESSIVA RUMOROSIT¼ CUSCINETTO MOZZO RUOTA ASSALE ANTERIORE * ******************************CORREZIONE****************************** SOST.CUSCINETTO MOZZO RUOTA ASSALE ANTERIORE,BEARINGS,NOISE,WHEEL BEARINGS,3.0,345.46
"******************************RECLAMO******************************* REVISAR PERDIDA DE ESCAPE ********************************CAUSA********************************* JUNTA INTERCAMBIADOR CALOR EGR FISURADA CAUSANDO 
FUGA GASES. ******************************SOLUCION****************************** REVISAR Y LOCALIZAR FUGA GASES ESCAPE. DESMONTAR 
CAMBIO PARA PODER DESMONTAR INTERCAMBIADOR CALOR 
EGR Y SUSTITUIR JUNTA FISURADA. MO NTAR Y REPONER 
AGUA VERTIDA EN LA OPERACION.",EGR HEAT EXCHANGER,CRACKED,GASKET,2.2,431.04
* ******************************REKL************************************ SCHALTKNAUF LOSE * ********************************GRUND******************************** SCHALTKNAUF LOSE * ******************************KORRECTUR******************************* SCHALTKNAUF DER GETRIEBESCHALTUNG ERNEUERT,GEAR LEVER KNOB,LOOSE RETAINER,LEVER KNOB,1.0,66.53
"* ******************************REKL************************************ Diverse Fehlermeldungen im Display * ********************************GRUND******************************** Pumpenmodulfunktion setzt zeitweise aus * ******************************KORRECTUR******************************* Diagnose, ADBlue Tank erneuert",AD-BLUE UNIT PUMP MODULE,DEFECTIVE CONTACTS,TANK/RESERVOIR,2.0,1266.97
******************************COMPLAINT******************************* Travel Time To Dossier ********************************CAUSE********************************* ANS callout ******************************CORRECTION****************************** Travel Time To Dossier,ANS 24 HOURS,MISCELLANEOUS,BATTERY,0.0,131.046512
"******************************COMPLAINT******************************* Check engine warning and the vehicle is in emergency mode with limited 
power ********************************CAUSE********************************* Malfunctioning of DPF pressure sensor ******************************CORRECTION****************************** Mobile workshop travel expenses - 327 km",ANS 24 HOURS,MISCELLANEOUS,DPF PRESSURE SENSOR,0.0,475.2
"******************************COMPLAINT******************************* Air bag warning light on dash ********************************CAUSE********************************* Connected in UDT to find no stored faults. Found KA4971 
refers to fault - IPC ecu requires software update ******************************CORRECTION****************************** Carried out software update to IPC via RSS, rechecked , all ok",INDICATORS INSTRUMENT,MISALIGNED,CLUSTER,0.0,56.720931
"******************************KLACHT********************************** MELDING STORING VERLICHTING IN INSTRUMENTENPANEEL, 
DIAGNOSE VERRICHT EN KORTSLUITING KENTEKENVERLICHTING 
HERSTELD. CSP: 98426076 ********************************OORZAAK******************************* DEFECTE CONTACTEN/AANSL ******************************CORRECTIE******************************* MELDING STORING VERLICHTING IN INSTRUMENTENPANEEL, 
DIAGNOSE VERRICHT EN KORTSLUITING KENTEKENVERLICHTING 
HERSTELD. CSP: 98426076 1 KENTEKENPLAATVERLICHTING U-I 
ELEKTRISCHE INST VISUEEL CTR.",NUMBER PLATE LIGHT,DEFECTIVE CONTACTS,NO. PLATE LAMP,6.0,56.35
"******************************Feil************************************ ULYD FORAN VED KJØRING ********************************Årsak********************************* DEFEKT VENSTRE FRAMHJULSLAGER ******************************Korreksjon****************************** KONTROLLERTE .- SKIFTET

OGSÅ HØYRE FRAMHJULSLAGER MÅ SKIFTES SNART ER NOE 
ULYD DER OGSÅ",BEARINGS,BREAK,WHEEL BEARINGS,1.0,490.987
"******************************Klgomål******************************** FELSÖKNING:GUL MOTORLAMPA LYSER ********************************Orsak********************************* 
FEL:HAR VARNAT FÖR ADBLUE PUMP 
ORSAK TILL FEL: FIRST FILLING ******************************Ändring********************************* 
ARBETSMOMENT:
UDT
FELSÖKNING
KONROLLERA FELKODER FINNS EJ AKTIVA
UTFÖRT FIRST FILLING MED EASY DATOR
RADERA FELKODER
DCU TEST OK
PROVKÖRNING MED PARAMETRARKONTROLL OK
FUNKTIONSKONTROLL / PROVKÖRNING:OK",ENGINE DRIVE CONTR.UNIT,LOW OUTPUT/EFFICIENCY,ECU-ENGINE,0.0,173.42
******************************SKARGA********************************** stuki w zawieszeniu przednim oraz pojazd przechylony ********************************CPRZ********************************** odkształcony resor przedni ******************************KORECTA********************************* w/z przedni+ w/z zwrotnice +,FRONT TRANSL LEAF SPRING,CAGE COLLAPSE,LEAF SPRING,1.0,401.581655
* ******************************REKL************************************ TüRFESSTELLER LINKS OHNE FUNKTION * ********************************GRUND******************************** TüRFESTSTELLER LINKS VERSCHLISSEN * ******************************KORRECTUR******************************* TüRVERKLEIDUNG A-E; TüRFESTSTELLER A-E ERN:,DOOR CHECK LINKS,LOOSE RETAINER,TIE ROD,1.0,159.1
"* ******************************TIPO_DANNO****************************** SERRATURA PORTA LATO CONDUCENTE NON FUNZIONA * ********************************CAUSA********************************* DISTACCO DEL TIRANTE DI COMANDO * ******************************CORREZIONE****************************** SR PANNELLO PORTA, FISSAGGIO DEL TIRANTE DI COMANDO",LOCK,BROKEN AWAY,SHIFT ROD,0.0,33.6
"******************************COMPLAINT******************************* svieti kontrolka motora, hlučný motor ********************************CAUSE********************************* popraskaná hadica intercoolera ******************************CORRECTION****************************** výmena hadice intercoolera",SLEEVES,CRACKED,RUBBER SLEEVE,2.0,142.38
"******************************REKL************************************ Fehler AEBS, LDWS und Radar ********************************GRUND********************************* LDWS Kamera defekt ******************************KORRECTUR******************************* Kamera erneuert, Fahrzeug neu kalibriert",LANE WARNING CCTV,DEFECTIVE CONTACTS,TV-CAMERA,2.0,1253.42
"******************************COMPLAINT******************************* nu tine frana de mana ********************************CAUSE********************************* cablurile de la frana de mana, slabite ******************************CORRECTION****************************** necesar inlocuire 2 cabluri frana de mana",REAR CABLE,DEFECT,HAND BRAKE CABLE,2.0,39.283465
******************************SKARGA********************************** Slady plynu na glowicy silnika ********************************CPRZ********************************** Luzne polaczenie gwintowe korka wodnego glowicy ******************************KORECTA********************************* Poprawa mocowania korka wodnego,CYLINDER HEAD PLUGS,LOOSE RETAINER,THREADED PLUG,1.0,171.949473
* ******************************COMPLAINT******************************* TRAVEL TO & FROM BREAKDOWN * ********************************CAUSE********************************* DOSSIER NUMBER * ******************************CORRECTION****************************** 8001844654,ANS 24 HOURS,MISCELLANEOUS,ECU-ENGINE,0.0,132.022989
"******************************COMPLAINT******************************* Tyre pressure error on display. ********************************CAUSE********************************* Mechanic made diagnostics to vehicle and discovered that the TPMS 
control unit needs to be reprogrammed. Mechanic measured can lines 
they where ok, power supply was also ok, tire pressure was also ok.
 ******************************CORRECTION****************************** Programming the TPMS control unit.",TYRE PRESSURE ECU,DEFECT,ECU TPMS,1.0,94.4
"******************************SKARGA********************************** NIE SWIECI JEDNO SWIATLO OBRYSOWE ********************************CPRZ********************************** KONTROLA USTRKI.ZASNIEDZIALE STYKI WTYCZKI LAMPY 
OBRYSOWEJ ******************************KORECTA********************************* NAPRAWA INST.ELE",CHASSIS LOOM,DEFECTIVE CONTACTS,FRAME WIRING,7.0,65.32842
"******************************REKL************************************ PANNENEINSATZ IANS DOSSIER 800166796 NACH BERNSTADT 
FAHRSTRECKE 27 KM ********************************GRUND********************************* LENKUNGSAUSFALL ******************************KORRECTUR******************************* FEHLERSUCHE AM PANNENORT, FZG ZUM ABSCHLEPPEN 
VORBEREITET",ANS 24 HOURS,MISCELLANEOUS,POWER STEERING,0.0,288.25
"******************************REKL************************************ Rückfahrkamera Bild unscharf und Einstellungen ohne Funktion ********************************GRUND********************************* Rückfahrkamera intern Kurzschluss ******************************KORRECTUR******************************* Störungssuche durchgeführt, Spannungsversorgung und Verkabelung 
kontrolliert und durchgemessen. Rückfahrkamera erneuert und 
angeschlossen.",REAR TV CAMERA,SHORT CIRCUIT,TV-CAMERA,1.0,334.91
* ******************************REKL************************************ FAHRZEUG STEHT IN LOHMAR- IM ROHNWEIHER * ********************************GRUND******************************** FAHRZEUG FAEHRT NUR NOCH 30 KMH / AD BLUE KONTROLLE AKTIV * ******************************KORRECTUR******************************* AUSSENDIENST/ STOERUNGSBEFUND 42 KM FAHRTKOSTEN,ANS 24 HOURS,MISCELLANEOUS,DELIVERY LINE,0.0,260.1
"******************************TIPO_DANNO****************************** SPIA MOTORE ACCESA ********************************CAUSA********************************* ERRATA ESISTENZA DELL'ELEMENTO RISCALDANTE DELLA 
TUBAZIONE DI MANDATA ******************************CORREZIONE****************************** DIAGNOSI GUASTI, AGGIORNAMENTO CENTRALINA ECM, 
CONTROLLO IMPIANTO AD-BLUE, ESECUZIONE PROCEDURA PER 
CONTROLLO ERRORE TUBAZIONE RISCA LDANTE, SOSTITUZIONE 
DELLA STESSA",PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,224.8
******************************REKL************************************ ORLVERLUST AM GETRIEBE PRUEFEN ********************************GRUND********************************* EINGANGSWELLE UNDICHT ******************************KORRECTUR******************************* GETRIEBE A+E UND WELLE ABGEDICHZTET,INPUT SHAFT COVER,OIL LEAKS,SHAFT SEAL,22.5,414.56
* ******************************TIPO_DANNO****************************** SPIA ANOMALIA IMPIANTO AD-BLUE RESTA ACCESA * ********************************CAUSA********************************* SCARSA RESA CENTRALINA ECM * ******************************CORREZIONE****************************** DIAGNOSI + RICERCA GUASTO + ESECUZIONE PROCEDURE GUIDATE + SIST.IMPIANTO E PROVA SU STRADA,ENGINE DRIVE CONTR.UNIT,LOW OUTPUT/EFFICIENCY,ELECTR. CONTR. UNIT,0.0,104.0
* ******************************TIPO_DANNO****************************** SPIA MOTORE ACCESA CON DEPOTENZIAMENTO * ********************************CAUSA********************************* BLOCCAGGIO DOSATORE AD BLUE * ******************************CORREZIONE****************************** PROCEDURA GUIDATA IN RIFERIMENTO AL GUASTO CON TEST IMPIANTO E PROVA MEZZO SU SSTRADA,AD-BLUE METERING DEV MODU,BLOCKAGE,NOZZLE,0.0,63.7
******************************REKL************************************ VERKLEIDUNG FAHRERSITZ-UNTERGESTELL LOCKER ********************************GRUND********************************* VERKLEIDUNG FAHRERSITZ-UNTERGESTELL BEFESTIGUNG LOSE ******************************KORRECTUR******************************* VERKLEIDUNG FAHRERSITZ-UNTERGESTELL BEFESTIGT,SEAT TRIMS,LOOSE RETAINER,KIT-SEATS,1.0,50.58
"******************************SKARGA********************************** NIE DZIAŁĄ WSKAŻNIK PALIWA A PO ZATANKOWANIU DO PEŁNA 
CIEKNE Z GÓRY ZBIORNIKA ********************************CPRZ********************************** ODKSZTAŁCONA USZCZELKA WSKAZNIKA PALIWA I ZGNITA 
INSTALACJIA WTYCZKI ZASILANIA PRZY CZUJNIKU POZIOMU 
PALIWA W 
ZBIORNIKU ******************************KORECTA********************************* WERYFIKACJA USTERKI , WYMIANA ZDEFORMOWANEJ 
USZCZELKI NA NOWĄ NAPRWA INSTALACJI ELEKTRYCZNEJ - 
WYMIAN ZGNITEGO WTYKU NA NOWY WYMIANA WSKAŻNIKA 
POZIOMU PALIWA NA NOWY",FEED PUMP ASSY,LOOSE RETAINER,LEVEL SENSOR,3.0,309.357894
******************************COMPLAINT******************************* NOISES WHILE DRIVING ********************************CAUSE********************************* BROKEN GEARBOX SCREWS ******************************CORRECTION****************************** REPLACING GEARBOX SCREWS,GEARBOX SUSP.SCREWS,DEFECT,HEXAGON BOLT,3.0,8.02
"******************************SICAYET********************************* ARACIN ALT KISMINDAN SES GELDİĞİ BEYAN EDİLDİ. ********************************NEDEN********************************* YAPILAN KONTROLDE ARACIN ŞANZIMAN BRAKET AYAĞININ KIRIK 
OLDUĞU BEYAN EDİLDİ. ******************************YAPILANIS******************************* ARACIN ŞANZIMAN TAKOZ BAĞLANTI BRAKETİ DEĞİŞTİRİLEREK 
ARIZA GİDERİLDİ.",SUPPORT,DEFORMED,RETAINER,1.0,35.31228
* ******************************SKARGA********************************** HOLOWANIE POJAZDU * ********************************CPRZ********************************** HOLOWANIE POJAZDU * ******************************KORECTA********************************* HOLOWANIE POJAZDU,ANS 24H RECOVERY CHARGE,MISCELLANEOUS,FUEL LINE,0.0,312.080537
"* ******************************SKARGA********************************** Spr. zapala sie kontrolka silnika i ad blue * ********************************CPRZ********************************** USZKODZONY CZUJNIK NOX PRZED SCR, ZWARCIE WEWN­TRZNE * ******************************KORECTA********************************* WYMIANA CZUJNIKA NOX PRZED SCR",NOX DETECTION SENSOR,DEFECT,NOX SENSOR,1.0,243.846316
******************************REKL************************************ Motor startet nicht mehr ********************************GRUND********************************* Batterieverbindung lose ******************************KORRECTUR******************************* Batterieverbindung instandsetzen,BATTERY LEADS,DEFECTIVE CONTACTS,LV BATTERY CABLE,0.0,18.918919
"******************************SKARGA********************************** Wyciek płynu chłodniczego 540734114 ********************************CPRZ********************************** PRZETARTY PRZEWÓD TŁOCZNY PŁYNU CHŁODZĄCEGO 
WYMIENNIKA CIEPŁA EGR ******************************KORECTA********************************* W/Z PRZEWÓD + ODPOWIETRZENIE UKŁADU CHŁODZĄCEGO + 
D/M SKRZYNI BIEGÓW",EGR EXCHANGER PIPES,SEIZURE,WATER PIPE,2.0,245.0
* ******************************TIPO_DANNO****************************** SPIA ANOMALIA CAMBIO ACCESA (ROSSA) * ********************************CAUSA********************************* F/C SU CONNETT.ALIM.JOYSTICK CAMBIO * ******************************CORREZIONE****************************** S/R PARZIALE CRUSCOTTO + RIC.GUASTO LINEA CAN + ELIMINATO F/C SU CONNETT.ALIM.JOYSTICK CAMBIO,GEARSHIFT SWITCH,DEFECTIVE CONTACTS,WIRE CONNECTOR,0.0,207.6
"* ******************************REKL************************************ Motor startet nicht * ********************************GRUND******************************** Massekabel am Rahmen lose, kein Kontakt * ******************************KORRECTUR******************************* Fehlersuche, Massekabel am Rahmen befestigt, KontaktflÄchen gereinigt",GROUND LEAD,DEFECTIVE CONTACTS,LV BATTERY CABLE,0.0,26.4
"******************************COMPLAINT******************************* Únik oleje ********************************CAUSE********************************* Kontrola motorového prostoru - zjištěno vadné těsněné vysokotlakého 
čerpadla paliva ******************************CORRECTION****************************** Provedena výměna výměna těsnících prvků",INJECTION PUMP ASSY,DEFECT,O-RING,8.15,341.03
******************************SKARGA********************************** SZUM PODCZAS JAZDY ********************************CPRZ********************************** ZBYT DUZY LUZ ŁOŻYSKA KOŁA LP ******************************KORECTA********************************* W/Z ŁOŻYSKO KOŁA LP,BEARINGS,TOO LOOSE/FLEXIBLE,WHEEL HUB SET,2.0,167.715885
"******************************SKARGA********************************** STUKI ZAWIESZENIA PRZOD ********************************CPRZ********************************** NADMIERNY LUZ GLOWICY KULOWEJ GORNYCH WACHACZY ******************************KORECTA********************************* WERYFIKACJA STUKOW, WYMIANA GORNYCH WACHACZY Z PRZODU",SUSP.ARM BALL JOINTS,TOO LOOSE/FLEXIBLE,TIE ROD JOINT,4.0,583.012632
******************************SKARGA********************************** USZKODZONY LAKIER ********************************CPRZ********************************** DEFEKT FABRYCZNY LAKIERU DRZWI PRAWYCH ******************************KORECTA********************************* NAPRAWA LAKIERU DRZWI PRAWYCH,CAB DOORS,DEFECT,DOOR RH,0.0,127.360179
* ******************************TIPO_DANNO****************************** SPIA MOTORE + AD-BLUE ACCESE * ********************************CAUSA********************************* Controllo errori ecm pi parametri pi controllo urea pi fatto test urea fatto Diagnosi guidata pi fatto 2 volte agg edc ma nn andata a buon fine pi staccato batterie * ******************************CORREZIONE****************************** Riprovato a fare agg dopo aver staccato batterie piu messo in carica batteria andato a buon fine agg pi reset errori guardato se alt re centraline sono da agg provato funzionamento,AD-BLUE METERING DEV MODU,LOW OUTPUT/EFFICIENCY,NOZZLE,0.0,104.16
"******************************SICAYET********************************* MUSTERI DIFERANSIYELDE YAG KACAGI OLDUGUNU SOYLUYOR ********************************NEDEN********************************* YAPILAN KONTROLLERDE MAHRUTI KECESININ DEFORME OLDUGU 
VE YAG KACAGINA NEDEN OLDUGU TESPIT EDILDI ******************************YAPILANIS******************************* MAHRUTI KECESI DEGISTIRILDI ARIZA GIDERILDI EKSILEN 2 LT 
DIFERANSIYEL YAGI SERVICE KODU ILE EKLENMISTIR",FLANGE SEAL,DEFORMED,SHAFT SEAL,1.0,26.907895
* ******************************REKL************************************ MOTOR HAT KEINE LEISTUNG * ********************************GRUND******************************** LADELUFTSCHLAUCH ZU ATL POROES * ******************************KORRECTUR******************************* LADELUFTSCHLAUCH ERNEUERN,SLEEVES,CRACKED,RUBBER SLEEVE,3.0,259.31
"******************************SICAYET********************************* ARKA KAPI AÇILMIYOR ********************************NEDEN********************************* KONTROLLERDE ARKA KAPI KİLİDİ HATALI ÇALIŞTIĞI VE AÇMA 
YAPMADIĞI TESPİT EDİLDİ. ******************************YAPILANIS******************************* ARKA KAPI KİLİDİ DEĞİŞTİRİLDİ.",LOCKS,DEFECTIVE CLOSURE/OPENING,DOOR LOCK,1.0,47.7872
* ******************************INCIDENT******************************** REMORQUAGE * ********************************CAUSE********************************* REMORQUAGE * ******************************SOLUTION******************************** REMORQUAGE,ANS 24H RECOVERY CHARGE,MISCELLANEOUS,SENSOR,0.0,451.49
