DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Cleaned_DealerComment,Classification
"* ******************************REKL************************************ MOTORKONTROLLE AKTIV * ********************************GRUND******************************** MOTORKONTROLLE AKTIV: AD BLUE LEITUNG AM DOSSIERER LOSE/UNDICHT * ******************************KORRECTUR******************************* MOTORKONTROLLE AKTIV: AD BLUE LEITUNG AM DOSSIERER LOSE/UNDICHT . SCHADENSBEFUND FESTGELEGT, LEITUNG A/E UND ABGEDICHTET, BEREICH GE REINIGT",PIPES AD-BLUE,FLUID LEAKS,DELIVERY LINE,0.0,138.0,"* ******************************RECL************************************ ENGINE CONTROL ACTIVE * ********************************REASON******************************** ENGINE CONTROL ACTIVE: AD BLUE LINE ON DOSSIER LOOSE/LEAKING * ******************************CORRECTION****************************** ENGINE CONTROL ACTIVE: AD BLUE LINE ON DOSSIER LOOSE/LEAKING . DAMAGE FINDINGS DETERMINED, LINE A/E AND SEALED, AREA GE CLEANED","RECL ENGINE CONTROL ACTIVE REASON ENGINE CONTROL ACTIVE: AD BLUE LINE ON DOSSIER LOOSE/LEAKING CORRECTION ENGINE CONTROL ACTIVE: AD BLUE LINE ON DOSSIER LOOSE/LEAKING . DAMAGE FINDINGS DETERMINED, LINE A/E AND SEALED, AREA GE CLEANED","{'Cause of Failure: Material Issue': 0.20389500260353088, 'Type of Failure': 0.1619761884212494, 'Cause of Failure: Design Flaw': 0.13507729768753052, 'Defective Part': 0.1332055628299713, 'Defective Component': 0.12994593381881714, 'Number of Parts Replaced': 0.10842271149158478, 'Cause of Failure: Human Error': 0.10316257178783417, 'Total Cost Incurred': 0.024314643815159798}"
******************************SKARGA********************************** ZAPALA SI­ KONTROLKA SILNIKA ********************************CPRZ********************************** NIEDRO®NY PRZEWOD CZUJNIKA DELTA P ******************************KORECTA********************************* UDROZNIEIE PRZEWODU ZYJNIKA DELTA P,PARTICULATE AIR TRAP SYS.,LOW OUTPUT/EFFICIENCY,PIPE,0.0,78.131992,******************************COMPLAINT*************************************** THE ENGINE LIGHT IS ON *********************************CPRZ************************************** BLOCKED DELTA P SENSOR LINE *********************************CORRECTION********************************* UNBLOCKED DELTA P SENSOR LINE,COMPLAINT THE ENGINE LIGHT IS ON CPRZ BLOCKED DELTA P SENSOR LINE CORRECTION UNBLOCKED DELTA P SENSOR LINE,"{'Type of Failure': 0.2003096342086792, 'Defective Part': 0.18405388295650482, 'Defective Component': 0.16965624690055847, 'Cause of Failure: Design Flaw': 0.1339341253042221, 'Cause of Failure: Material Issue': 0.09990068525075912, 'Cause of Failure: Human Error': 0.09579336643218994, 'Number of Parts Replaced': 0.08970208466053009, 'Total Cost Incurred': 0.026649944484233856}"
"* ******************************SKARGA********************************** POJAZD NIE MO®E ODPALIä Nie dziala kluczyk , a kluczyk zapasowy klient ma w Hola * ********************************CPRZ********************************** WADA PRODUKTU WEWNETRZNE WADLIWE DZIA ANIE KLUCZYKA NIE MO®NA ZAPROGRAMOWAä NIE IMMO NIE CZYTA KLUCZ * ******************************KORECTA********************************* WYMIANA KLUCZYKA",IGNITION KEY,DEFECT,TOOLS OF IGNITION,1.0,169.176734,"* ******************************COMPLAINT************************************ THE VEHICLE CANNOT START The key does not work, and the customer has a spare key at Hola * ************************************CPRZ************************************ PRODUCT DEFECT INTERNAL MALFUNCTION OF THE KEY CANNOT BE PROGRAMMED NO IMMO DOES NOT READ THE KEY * ****************************** CORRECTION********************************* KEY REPLACEMENT","COMPLAINT THE VEHICLE CANNOT START The key does not work, and the customer has a spare key at Hola CPRZ PRODUCT DEFECT INTERNAL MALFUNCTION OF THE KEY CANNOT BE PROGRAMMED NO IMMO DOES NOT READ THE KEY CORRECTION KEY REPLACEMENT","{'Type of Failure': 0.2925977408885956, 'Defective Part': 0.16385969519615173, 'Defective Component': 0.12967325747013092, 'Cause of Failure: Design Flaw': 0.11683555692434311, 'Cause of Failure: Human Error': 0.09513377398252487, 'Cause of Failure: Material Issue': 0.0907534807920456, 'Number of Parts Replaced': 0.07405334711074829, 'Total Cost Incurred': 0.037093114107847214}"
"* ******************************SKARGA********************************** ul. Lukowska 6 - 64-600 Oborniki, Poland * ********************************CPRZ********************************** DOJAZD NA MIEJSCE AWARII ORAZ POWROT RAZEM 92KM * ******************************KORECTA********************************* DOJAZD NA MIEJSCE AWARII ORAZ POWROT RAZEM 92KM",ANS 24 HOURS,MISCELLANEOUS,LV BATTERY CABLE,0.0,82.326622,"* ********************************* COMPLAINT************************************ ul. Lukowska 6 - 64-600 Oborniki, Poland * ************************************CPRZ************************************** ARRIVAL TO THE FAILURE SITE AND RETURN TOTAL 92KM * ********************************* CORRECTION********************************* ARRIVAL TO THE FAILURE SITE AND RETURN TOTAL 92KM","COMPLAINT ul. Lukowska 6 - 64-600 Oborniki, Poland CPRZ ARRIVAL TO THE FAILURE SITE AND RETURN TOTAL 92KM CORRECTION ARRIVAL TO THE FAILURE SITE AND RETURN TOTAL 92KM","{'Cause of Failure: Human Error': 0.22537174820899963, 'Cause of Failure: Material Issue': 0.17905797064304352, 'Type of Failure': 0.15692128241062164, 'Cause of Failure: Design Flaw': 0.13434135913848877, 'Number of Parts Replaced': 0.10244043916463852, 'Defective Component': 0.09051734954118729, 'Defective Part': 0.07066825032234192, 'Total Cost Incurred': 0.04068160057067871}"
"******************************COMPLAINT******************************* diagnoza - martor abs prezent in bord ********************************CAUSE********************************* senzor abs axa fata dr defect, necesar inlocuire ******************************CORRECTION****************************** inlocuit senzor abs axa fata dr",SENSOR,DEFECT,SENSOR,1.0,26.541752,"********************************** COMPLAINT**************** ************ diagnosis - ABS warning light present on board ********************************** *CAUSE******************************** abs sensor front right axle defective, replacement required ****** **************************CORRECTION**************************** ***** replaced front axle abs sensor right","COMPLAINT diagnosis - ABS warning light present on board CAUSE abs sensor front right axle defective, replacement required CORRECTION replaced front axle abs sensor right","{'Type of Failure': 0.22150559723377228, 'Defective Part': 0.15816877782344818, 'Defective Component': 0.14879010617733002, 'Cause of Failure: Design Flaw': 0.1371699869632721, 'Number of Parts Replaced': 0.10537748783826828, 'Cause of Failure: Human Error': 0.10120667517185211, 'Cause of Failure: Material Issue': 0.0855768546462059, 'Total Cost Incurred': 0.042204514145851135}"
* ******************************REKL************************************ FZG GEHT NACH DEM STARTEN GLEICH WIEDER AUS BEF INST * ********************************GRUND******************************** FZG GEHT NACH DEM STARTEN GLEICH WIEDER AUS // VERALTETE SOFTWARE AB WERK * ******************************KORRECTUR******************************* DIAGNOSE MIT UDT ; GEFUEHRTES VERFAHREN ABGEARBEITET ; RELAIS UND SICHERUNG UND VERKABELUNG IM MOTORRAUM GEPRUEFT ; STARTANLAGE KOMP LETT DURCHGEMESSEN ; VERKLEIDUNG ARMATURENBRETT FAHRERSEITE A+E ; AUF ANWEISUNG THD EINE WEITERES GEFUEHRTES VERFAHREN ABGEARBEI TET ; STEUERGERAETE GEPRUEFT ; PROGRAMMIERUNG UEBER TLS - NEUESTE VERSION,ENGINE DRIVE CONTR.UNIT,"CONTROL,VERIFICATION",ELECTR. CONTR. UNIT,0.0,487.8,* ******************************RECL************************************ VEHICLE SWITS OFF IMMEDIATELY AFTER STARTING BEF INST * ********************************REASON******************************** VEHICLE SWITS OFF IMMEDIATELY AFTER STARTING // OUTDATED SOFTWARE FROM THE FACTORY * ******************************CORRECTION****************************** DIAGNOSIS WITH UDT ; GUIDED PROCEDURE COMPLETED ; RELAY AND FUSE AND WIRING IN THE ENGINE COMPARTMENT CHECKED ; STARTING SYSTEM MEASURED COMPLETELY ; DRIVER'S SIDE DASHBOARD COVER A+E ; ANOTHER GUIDED PROCEDURE COMPLETED ACCORDING TO THD INSTRUCTIONS ; CONTROL UNITS CHECKED ; PROGRAMMING VIA TLS - LATEST VERSION,RECL VEHICLE SWITS OFF IMMEDIATELY AFTER STARTING BEF INST REASON VEHICLE SWITS OFF IMMEDIATELY AFTER STARTING // OUTDATED SOFTWARE FROM THE FACTORY CORRECTION DIAGNOSIS WITH UDT ; GUIDED PROCEDURE COMPLETED ; RELAY AND FUSE AND WIRING IN THE ENGINE COMPARTMENT CHECKED ; STARTING SYSTEM MEASURED COMPLETELY ; DRIVER'S SIDE DASHBOARD COVER A+E ; ANOTHER GUIDED PROCEDURE COMPLETED ACCORDING TO THD INSTRUCTIONS ; CONTROL UNITS CHECKED ; PROGRAMMING VIA TLS - LATEST VERSION,"{'Type of Failure': 0.1810094118118286, 'Cause of Failure: Design Flaw': 0.16990743577480316, 'Defective Part': 0.15278257429599762, 'Defective Component': 0.15052367746829987, 'Cause of Failure: Material Issue': 0.11596811562776566, 'Cause of Failure: Human Error': 0.10749530047178268, 'Number of Parts Replaced': 0.09343275427818298, 'Total Cost Incurred': 0.028880726546049118}"
* ******************************SKARGA********************************** LUZ NA KONCOWKACH DRAZKOW REAKCYJNYCH DOLNYCH PRAWEGO I LEWEGO * ********************************CPRZ********************************** KONCOWKI DRAZKOW REAKCYJNYCH * ******************************KORECTA********************************* WYMIANA KONCOWEK DRAZKOW REAKCYJNYCH DOLNYCH PRAWEGO I LEWEGO,TIE-ROD BALL JOINTS,DEFECT,JOINT FITTING,4.0,213.111579,* ******************************COMPLAINT************************************** PLAY IN THE ENDS OF THE LOWER RIGHT AND LEFT REACTION RODS * ************************************CPRZ************************************ REACTION ROD ENDS * ********************************* CORRECTION********************************* REPLACEMENT OF THE LOWER RIGHT AND LEFT REACTION ROD ENDS,COMPLAINT PLAY IN THE ENDS OF THE LOWER RIGHT AND LEFT REACTION RODS CPRZ REACTION ROD ENDS CORRECTION REPLACEMENT OF THE LOWER RIGHT AND LEFT REACTION ROD ENDS,"{'Number of Parts Replaced': 0.1929510533809662, 'Cause of Failure: Design Flaw': 0.14705026149749756, 'Cause of Failure: Human Error': 0.13289178907871246, 'Cause of Failure: Material Issue': 0.13237012922763824, 'Defective Part': 0.11797910928726196, 'Defective Component': 0.11755490303039551, 'Type of Failure': 0.11240692436695099, 'Total Cost Incurred': 0.0467958003282547}"
* ******************************TIPO_DANNO****************************** ALETTA PARASOLE DX NON TIENE LA POSIZIONE * ********************************CAUSA********************************* ALETTA PARASOLE DX NON TIENE LA POSIZIONE * ******************************CORREZIONE****************************** ALETTA PARASOLE DX NON TIENE LA POSIZIONE,SUN VISORS,COLLAPSED,SUN ROOF,1.0,62.74,* ******************************DAMAGE TYPE**************************** RIGHT SUN VISOR DOES NOT HOLD POSITION * ******************************CAUSE******************************** RIGHT SUN VISOR DOES NOT HOLD POSITION * ******************************CORRECTION**************************** RIGHT SUN VISOR DOES NOT HOLD POSITION,DAMAGE TYPE RIGHT SUN VISOR DOES NOT HOLD POSITION CAUSE RIGHT SUN VISOR DOES NOT HOLD POSITION CORRECTION RIGHT SUN VISOR DOES NOT HOLD POSITION,"{'Cause of Failure: Material Issue': 0.21837550401687622, 'Type of Failure': 0.149421826004982, 'Cause of Failure: Design Flaw': 0.13601024448871613, 'Cause of Failure: Human Error': 0.13115787506103516, 'Defective Component': 0.1293502002954483, 'Defective Part': 0.12611228227615356, 'Number of Parts Replaced': 0.061951279640197754, 'Total Cost Incurred': 0.04762071743607521}"
******************************REKL************************************ SCHALTHEBEL BEFESTIGUNG GEBROCHEN ********************************GRUND********************************* SCHALTHEBEL BEFESTIGUNG GEBROCHEN ******************************KORRECTUR******************************* SCHALTHEBEL ERN,LEVER SUPPORT TRIM,BROKEN RETAINER,LEVER KNOB,1.0,71.3,******************************RECL************************************ SHIFT LEVER FASTENING BROKEN ********************************REASON********************************* SHIFT LEVER FASTENING BROKEN ******************************CORRECTION****************************** REPLACE SHIFT LEVER,RECL SHIFT LEVER FASTENING BROKEN REASON SHIFT LEVER FASTENING BROKEN CORRECTION REPLACE SHIFT LEVER,"{'Cause of Failure: Human Error': 0.18455106019973755, 'Cause of Failure: Design Flaw': 0.14172647893428802, 'Type of Failure': 0.1369011253118515, 'Defective Component': 0.12519608438014984, 'Defective Part': 0.12396786361932755, 'Number of Parts Replaced': 0.1215350553393364, 'Cause of Failure: Material Issue': 0.10657510161399841, 'Total Cost Incurred': 0.059547245502471924}"
"******************************SKARGA********************************** DYM Z POD MASKI, WYSOKA TEMPERATURA SILNIKA, BRAK 
WYCIEKéW ********************************CPRZ********************************** ZABLOKOWANY ELEKTROWENTYLATOR ******************************KORECTA********************************* WYMIANA ELEKTROWENTYLATORA",WATER PUMP DRIVE PULLEY,BLOCKAGE,VENTILATOR CONTRO,1.0,398.966443,"******************************COMPLAINT************************************ SMOKE FROM UNDER THE HOOD, HIGH ENGINE TEMPERATURE, NO LEAKS ************************************CPRZ************************************ BLOCKED ELECTRIC FAN ****************************** CORRECTION********************************* REPLACEMENT OF ELECTRIC FAN","COMPLAINT SMOKE FROM UNDER THE HOOD, HIGH ENGINE TEMPERATURE, NO LEAKS CPRZ BLOCKED ELECTRIC FAN CORRECTION REPLACEMENT OF ELECTRIC FAN","{'Cause of Failure: Material Issue': 0.1621403694152832, 'Type of Failure': 0.15736262500286102, 'Cause of Failure: Design Flaw': 0.14668262004852295, 'Number of Parts Replaced': 0.1383282095193863, 'Defective Component': 0.12684985995292664, 'Defective Part': 0.12485406547784805, 'Cause of Failure: Human Error': 0.10941193252801895, 'Total Cost Incurred': 0.0343702957034111}"
"******************************REKL************************************ Start Stopp Schalter Probleme bei er Funktion ********************************GRUND********************************* Kabelverbindung gestÍrt ******************************KORRECTUR******************************* Paramter geprÜft, Fehlerspeicher gelÍscht, KA 000005289 bearbeitet und 
div Verbindungen gelÍst, geprÜft dazu Verkleidiungen a+e, Bat terie geprÜft",CONNECTIONS,DEFECTIVE CONTACTS,DASHBOARD WIRING,0.0,262.2,"******************************RECL************************************ Start stop switch problems with function ******************REASON********************************* Cable connection faulty ******************************CORRECTION******************************* Parameters checked, error memory deleted, KA 000005289 processed and 
various connections disconnected, checked and also panels a+e, battery checked","RECL Start stop switch problems with function REASON Cable connection faulty CORRECTION Parameters checked, error memory deleted, KA 000005289 processed and various connections disconnected, checked and also panels a+e, battery checked","{'Type of Failure': 0.252894788980484, 'Defective Component': 0.17213457822799683, 'Defective Part': 0.14473369717597961, 'Cause of Failure: Design Flaw': 0.1359371393918991, 'Cause of Failure: Material Issue': 0.10384336858987808, 'Cause of Failure: Human Error': 0.10212387144565582, 'Number of Parts Replaced': 0.0618230439722538, 'Total Cost Incurred': 0.026509523391723633}"
"******************************COMPLAINT******************************* Huruit la rulare mai ales in vitezele inferioare ********************************CAUSE********************************* Zgomotul a fost identificat ca provenienta din interiorul 
cutie de viteze. S-a demontat si dezasamblat cutia de 
viteze.Rulmentul de sbu prinza este defect. Cementarea 
de pe el a contaminat uleiul cutiei de viteze, afectand si 
alte piese componente ******************************CORRECTION****************************** Necesar inlocuire cutie viteze",INPUT SHAFT BEARINGS,DEFECT,ROLLER CAGE,4.0,3229.613034,"********************************** COMPLAINT**************** ************** Roaring when driving, especially in the lower speeds ****************************** **CAUSE************************************ The noise was identified as coming from inside 
gearbox. The box was dismantled and disassembled 
gears. The sbu pinza bearing is defective. Cementation 
from it contaminated the gearbox oil, affecting also 
other component parts **********************************CORRECTION**************** ************** Need to replace the gearbox","COMPLAINT Roaring when driving, especially in the lower speeds CAUSE The noise was identified as coming from inside gearbox. The box was dismantled and disassembled gears. The sbu pinza bearing is defective. Cementation from it contaminated the gearbox oil, affecting also other component parts CORRECTION Need to replace the gearbox","{'Defective Part': 0.19869224727153778, 'Defective Component': 0.16968980431556702, 'Number of Parts Replaced': 0.16931095719337463, 'Type of Failure': 0.14555543661117554, 'Cause of Failure: Material Issue': 0.10234963148832321, 'Cause of Failure: Human Error': 0.08664476871490479, 'Cause of Failure: Design Flaw': 0.08279866725206375, 'Total Cost Incurred': 0.04495849087834358}"
"******************************COMPLAINT******************************* Driver was complaining that reverse buzzer is not working. ********************************CAUSE********************************* After inspection we found that buzzer is scored and need to be 
replaced.
 ******************************CORRECTION****************************** We replaced scored part with new one.",BUZZERS,SCORED,INDICATOR,1.0,29.3,"******************************COMPLAINT******************************* Driver was complaining that reverse buzzer is not working. ********************************CAUSE********************************* After inspection we found that buzzer is scored and need to be 
replaced.
 ******************************CORRECTION****************************** We replaced scored part with new one.",COMPLAINT Driver was complaining that reverse buzzer is not working. CAUSE After inspection we found that buzzer is scored and need to be replaced. CORRECTION We replaced scored part with new one.,"{'Number of Parts Replaced': 0.21195527911186218, 'Defective Part': 0.1432480663061142, 'Type of Failure': 0.14253535866737366, 'Defective Component': 0.14073345065116882, 'Cause of Failure: Material Issue': 0.12322922050952911, 'Cause of Failure: Human Error': 0.10682649165391922, 'Cause of Failure: Design Flaw': 0.08876719325780869, 'Total Cost Incurred': 0.042704988270998}"
"* ******************************COMPLAINT******************************* Loss of fuel * ********************************CAUSE********************************* Fuel pipe split at fuel filter * ******************************CORRECTION****************************** Replaced fuel pipe , Wash and road test",FUEL INLET PIPE,CRACKED,FUEL LINE,2.0,147.430233,"* ******************************COMPLAINT******************************* Loss of fuel * ********************************CAUSE********************************* Fuel pipe split at fuel filter * ******************************CORRECTION****************************** Replaced fuel pipe , Wash and road test","COMPLAINT Loss of fuel CAUSE Fuel pipe split at fuel filter CORRECTION Replaced fuel pipe , Wash and road test","{'Number of Parts Replaced': 0.20797717571258545, 'Type of Failure': 0.15315894782543182, 'Cause of Failure: Material Issue': 0.151170015335083, 'Defective Component': 0.13704508543014526, 'Defective Part': 0.13477922976016998, 'Cause of Failure: Human Error': 0.08688057959079742, 'Cause of Failure: Design Flaw': 0.07143964618444443, 'Total Cost Incurred': 0.0575493760406971}"
"* ******************************TIPO_DANNO****************************** AVARIA A MOTORE ACCENSSIONE SPIE DOSSIER 8001798325 * ********************************CAUSA********************************* FISSAGGIO LENTO POLO NEGATIVO BATTERIA * ******************************CORREZIONE****************************** CONTROLLO IMPIANTO ELETTRICO, CANCELLAZIONI ERRORI, SOSTITUZIONE POLO NEGATIVO BATTERIA",CABLE TERMINAL,LOOSE RETAINER,LV BATTERY CABLE,1.0,53.7,"* **********************************DAMAGE TYPE******************************** ENGINE FAILURE IGNITION WARNING LIGHTS DOSSIER 8001798325 * **********************************CAUSE************************************ LOOSE FASTENING OF BATTERY NEGATIVE POLE * ******************************CORRECTION**************************** CHECK ELECTRICAL SYSTEM, DELETE ERRORS, REPLACE BATTERY NEGATIVE POLE","DAMAGE TYPE ENGINE FAILURE IGNITION WARNING LIGHTS DOSSIER 8001798325 CAUSE LOOSE FASTENING OF BATTERY NEGATIVE POLE CORRECTION CHECK ELECTRICAL SYSTEM, DELETE ERRORS, REPLACE BATTERY NEGATIVE POLE","{'Type of Failure': 0.3427424132823944, 'Defective Part': 0.14154255390167236, 'Defective Component': 0.1338510364294052, 'Cause of Failure: Design Flaw': 0.12781460583209991, 'Cause of Failure: Material Issue': 0.08443654328584671, 'Cause of Failure: Human Error': 0.0760563388466835, 'Number of Parts Replaced': 0.061309512704610825, 'Total Cost Incurred': 0.03224701061844826}"
"******************************SICAYET********************************* debriyaj takılı kalıyor. ********************************NEDEN********************************* yapılan servis kontrolünde aracın debriyaj merkezinin bağlantı 
uç plastiğinin deforme olduğu ve bu nedenle takılı kaldığı 
görüldü. ******************************YAPILANIS******************************* debriyaj merkezi değişti.arıza giderildi.",CLUTCH SYS TANK AND PUMP,DEFORMED,KIT-HYDRAULIC CYL,1.0,79.858772,"*********************************TEMPERATURE********************************* clutch is stuck. *********************************WHY********************************* During the service check, it was seen that the connection end plastic of the vehicle's clutch hub was deformed and therefore it was stuck. ******************************DOCUMENTATION*************************** clutch hub was changed. the fault was fixed.","TEMPERATURE clutch is stuck. WHY During the service check, it was seen that the connection end plastic of the vehicle's clutch hub was deformed and therefore it was stuck. DOCUMENTATION clutch hub was changed. the fault was fixed.","{'Cause of Failure: Material Issue': 0.24823901057243347, 'Type of Failure': 0.16563081741333008, 'Defective Component': 0.14178678393363953, 'Defective Part': 0.13492164015769958, 'Number of Parts Replaced': 0.12169337272644043, 'Cause of Failure: Design Flaw': 0.09988121688365936, 'Cause of Failure: Human Error': 0.0638028085231781, 'Total Cost Incurred': 0.02404429018497467}"
* ******************************REKL************************************ SEITLICHE POSITIONSLEUCHTE AUSGEFALLEN * ********************************GRUND******************************** KONTAKTPROBLEM BZW KEIN DURHGANG DER SCHLEIFKONTAKTE * ******************************KORRECTUR******************************* PRUEFUNG DER VERKABELUNG SOWIE SPANNUNGSVERSORGUNGEN; ERSATZ DER SCHLEIFKONTAKTE,DOOR CONN. FIXED PART,SHORT CIRCUIT,SLIDING CONTACT,2.0,252.73,* ******************************RECL************************************ SIDE POSITION LIGHT FAILS * ********************************REASON******************************** CONTACT PROBLEM OR NO CONTINUITY OF THE SLIPPER CONTACTS * ******************************CORRECTION****************************** CHECK THE WIRING AND POWER SUPPLIES; REPLACE THE SLIPPER CONTACTS,RECL SIDE POSITION LIGHT FAILS REASON CONTACT PROBLEM OR NO CONTINUITY OF THE SLIPPER CONTACTS CORRECTION CHECK THE WIRING AND POWER SUPPLIES; REPLACE THE SLIPPER CONTACTS,"{'Defective Part': 0.19620177149772644, 'Defective Component': 0.190387561917305, 'Type of Failure': 0.1781778186559677, 'Cause of Failure: Human Error': 0.12042232602834702, 'Cause of Failure: Design Flaw': 0.10999120026826859, 'Cause of Failure: Material Issue': 0.09912892431020737, 'Number of Parts Replaced': 0.083674356341362, 'Total Cost Incurred': 0.022015994414687157}"
"******************************Klgomål******************************** Warning on DIP and reduced power ********************************Orsak********************************* Wiring in hose to AD-blue broken. ******************************Ändring********************************* Fault finding, read out fault codes and warning on heater wiring in hose to 
AD-blue defekt. Meassuring 1,8 M OHM. Change hose and test al ok.",PIPES AD-BLUE,BREAK,DELIVERY LINE,1.0,253.85,"******************************Klgomål******************************** Warning on DIP and reduced power ********************************Orsak********************************* Wiring in hose to AD-blue broken. ******************************Ändring********************************* Fault finding, read out fault codes and warning on heater wiring in hose to 
AD-blue defekt. Meassuring 1,8 M OHM. Change hose and test al ok.","Klgomål Warning on DIP and reduced power Orsak Wiring in hose to AD-blue broken. Ändring Fault finding, read out fault codes and warning on heater wiring in hose to AD-blue defekt. Meassuring 1,8 M OHM. Change hose and test al ok.","{'Type of Failure': 0.25524240732192993, 'Defective Component': 0.15029595792293549, 'Defective Part': 0.14993701875209808, 'Cause of Failure: Design Flaw': 0.1200300082564354, 'Cause of Failure: Material Issue': 0.10932578891515732, 'Cause of Failure: Human Error': 0.10564491152763367, 'Number of Parts Replaced': 0.071405328810215, 'Total Cost Incurred': 0.03811858221888542}"
"******************************COMPLAINT******************************* Svítí závada EDC. ********************************CAUSE********************************* Diagnostika, řízený postup - vadný snímač pevných částic ******************************CORRECTION****************************** Výměna",PARTICULATE SENSOR,DEFECT,PM SENSOR,1.0,211.5,"******************************COMPLAIN******************** ************ The EDC fault lights up. **********************************CAUSE**************** **************** Diagnostics, guided procedure - faulty solid particle sensor ************************* *****CORRECTION********************************* Replacement","COMPLAIN The EDC fault lights up. CAUSE Diagnostics, guided procedure - faulty solid particle sensor CORRECTION Replacement","{'Type of Failure': 0.1814185529947281, 'Cause of Failure: Material Issue': 0.1649218499660492, 'Defective Component': 0.12937799096107483, 'Defective Part': 0.12764090299606323, 'Cause of Failure: Human Error': 0.11987657099962234, 'Cause of Failure: Design Flaw': 0.11684773117303848, 'Number of Parts Replaced': 0.08122660964727402, 'Total Cost Incurred': 0.07868974655866623}"
"* ******************************RECLAMO******************************* REVISAR AIRE ACONDICIONADO,NO FUNCIONA * ********************************CAUSA********************************* CONDENSADORA ROTA * ******************************SOLUCION****************************** REVISAR A/AC, NO FUNCIONA, REVISAR FUGAS Y VERIFICAR FUGA POR CONDENSADORA DESMONTAR Y SUSTIUTIR CONDENSADORA EFECTUAR VACIO Y RECA RGA DE GAS R134A",CONDENSOR,BREAK,AIR COND.CONDENSER,2.0,520.3,"* ******************************CLAIM****************** ************* CHECK AIR CONDITIONING, IT DOES NOT WORK * ****************************** **CAUSE********************************** BROKEN CAPACITOR * *********** *******************SOLUTION****************************** CHECK A/AC, IT DOES NOT WORK, CHECK LEAKS AND CHECK LEAKS FROM THE CONDENSER REMOVE AND REPLACE CONDENSER VACUUM AND RECHARGE R134A GAS","CLAIM CHECK AIR CONDITIONING, IT DOES NOT WORK CAUSE BROKEN CAPACITOR SOLUTION CHECK A/AC, IT DOES NOT WORK, CHECK LEAKS AND CHECK LEAKS FROM THE CONDENSER REMOVE AND REPLACE CONDENSER VACUUM AND RECHARGE R134A GAS","{'Type of Failure': 0.20580868422985077, 'Defective Part': 0.18657569587230682, 'Defective Component': 0.1724303662776947, 'Cause of Failure: Material Issue': 0.1152646467089653, 'Number of Parts Replaced': 0.08626534789800644, 'Cause of Failure: Design Flaw': 0.08568836748600006, 'Total Cost Incurred': 0.08420190215110779, 'Cause of Failure: Human Error': 0.06376496702432632}"
"******************************SKARGA********************************** Zanieczyszczenie, wtracenie na lakierze klapka wlewu AdBlue ********************************CPRZ********************************** Wada fabryczna powloki lakierniczej ******************************KORECTA********************************* Przelakierowanie klapki wlewu",AD-BLUE TANK DOOR,"DIRT,FOREIGN MATTERS",FLAP/COVER,0.0,87.382551,"******************************COMPLAINT*************************************** Contamination, inclusion on the paint AdBlue filler flap *********************************CPRZ*************************************** Factory defect of the paint coating *********************************CORRECTION************************************ Repainting of the filler flap","COMPLAINT Contamination, inclusion on the paint AdBlue filler flap CPRZ Factory defect of the paint coating CORRECTION Repainting of the filler flap","{'Cause of Failure: Material Issue': 0.16096439957618713, 'Type of Failure': 0.1590779721736908, 'Defective Part': 0.13566111028194427, 'Cause of Failure: Design Flaw': 0.13534022867679596, 'Defective Component': 0.13206444680690765, 'Number of Parts Replaced': 0.1268330067396164, 'Cause of Failure: Human Error': 0.10427037626504898, 'Total Cost Incurred': 0.04578842595219612}"
* ******************************TIPO_DANNO****************************** FAILUREDESCR * ********************************CAUSA********************************* CAUSEDESCR * ******************************CORREZIONE****************************** CORRECTIONDESCR,CROWN WHEEL AND PINION,NOISE,BEVEL DRIVE,1.0,-1209.758389,* ******************************DAMAGETYPE**************************** FAILUREDESCR * ******************************CAUSE******************************** CAUSEDESCR * ****************************** CORRECTION**************************** CORRECTIONDESCR,DAMAGETYPE FAILUREDESCR CAUSE CAUSEDESCR CORRECTION CORRECTIONDESCR,"{'Type of Failure': 0.2605242431163788, 'Cause of Failure: Material Issue': 0.17848820984363556, 'Cause of Failure: Human Error': 0.13658040761947632, 'Cause of Failure: Design Flaw': 0.11822289228439331, 'Defective Component': 0.10023360699415207, 'Defective Part': 0.08816921710968018, 'Number of Parts Replaced': 0.068832628428936, 'Total Cost Incurred': 0.04894884303212166}"
