Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Label_1,Label_2,Label_3,Label_4,Label_5,Score_1,Score_2,Score_3,Score_4,Score_5
GEARBOX INTERNAL CONTROLS,DEFORMED,GEAR SELECTOR,300.77,534.851752,"TEMPERATURE  The customer stated that the vehicle was in gear and the vehicle was not moving. FROM WHERE  If the vehicle was checked and it was found that it was not working, the transmission was put into the channel. 
When it was disassembled, it was seen that the pressure lining was intact. The transmission of the vehicle 
When dismantled and dismantled, the transmission fork studs will not be cut or deformed. 
It was seen to be. PROCEDURE  The transmission fork of the vehicle was completely replaced, the transmission was assembled as required. 
Checks were made and the fault was resolved. Transmission oil used is 383.59=250.77 
TL, cleaning material used to clean the lubricated area 
47.00 TL was entered as external labor.",Number of Parts Replaced,Type of Failure,Total Cost Incurred,Material Failure,Defective Component,0.15645235776901245,0.12803524732589722,0.1246231198310852,0.1223858967423439,0.12121578305959702
TEMPERATURE SENSOR,SHORT CIRCUIT,SENSOR,1.0,264.33," CLAIM  ENGINE WARNING WARNING WITH REDUCED PERFORMANCES   CAUSE TEMPERATURE SENSOR BEFORE DPF SHORT CIRCUIT   SOLUTION  READING AND ANALYSIS OF FAULTS, TEMPERATURE SENSOR PREVIOUS TO THE DPF IS REPLACED. ROAD TEST IS CARRIED OUT",Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,Material Failure,0.21298867464065552,0.16669830679893494,0.15986523032188416,0.11352865397930145,0.09823375940322876
NOX DETECTION SENSOR,SHORT CIRCUIT,SENSOR,3.0,248.62,DAMAGE TYPE  ENGINE FAILURE LIGHT ON CAUSE  FAULTY CONTACTS NOX SENSOR ERROR 000CA2-02  CORRECTION SUB. DOWNSTREAM NOX SENSOR,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.37480291724205017,0.18455564975738525,0.15694868564605713,0.11454298347234726,0.06096635013818741
CAB LOOM,DEFECTIVE CONTACTS,CAB WIRING,0.0,147.9,"COMPLAINT  CAR HAS GEARBOX FAILURE. SWITCHES ON 
IT DOES DRIVE AWAY, BUT IT REMAINS THE SAME 
GEAR HANGERS. AND P/D/R IS THEN NO LONGER TOO 
DO NOT OPERATE ONLY WHEN YOU TURN OFF THE VEHICLE CAN CAUSE  IRREGULAR OPERATION  CORRECTION ERRORS READ, ONLY SAVED 
MALFUNCTIONS IN THE GEARBOX. A LITTLE DRIVEN, EVERYTHING 
OK. USING ERROR 07F0C0 CAN2 MET FAILURE 
GEAR, WIRING AND CONNETOR AT GEAR 
CONTROLLED. WIRING IS STUCK, 
WIRING REPAIRED AND FAULTS CLEARED. P ROEF RIDE 
DONE, EVERYTHING OK. DIAGNOSIS AUTOMATIC 
GEARBOX CONTROL UNITS TESTING AND 
CLEAR ERROR MEMORY AUTOMATIC DIAGNOSTICS E 
CHECK GEARBOX WIRING AND 
RESTORE",Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.13844914734363556,0.13649573922157288,0.12964501976966858,0.12839139997959137,0.12829257547855377
SENSOR,DEFECT,SENSOR,1.0,35.832214,"COMPLAINT  the message is on: ""abs/esp unavailable""  CPRZ damaged front left ABS sensor  CORRECTION  diagnostics, installation check, ABS sensor replacement",Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.22386084496974945,0.18609194457530975,0.15891632437705994,0.15532507002353668,0.11231555044651031
CLUTCH SYS TANK AND PUMP,DEFORMED,KIT-HYDRAULIC CYL,1.0,96.351231,"COMPLAINT  PRESSURE LEAKING, INTERNAL DEFECTIVE 
SEAL, CLUTCH REPLACEMENT CPRZ  PRESSURE LEAKING, INTERNAL DEFECTIVE 
SEAL, CLUTCH REPLACEMENT CORRECTION  PRESSURE LEAKING, INTERNAL DEFECTIVE 
SEALING, REPLACEMENT OF THE PRESSURE GEAR",Defective Component,Type of Failure,Defective Part,Number of Parts Replaced,Material Failure,0.2015862911939621,0.16396060585975647,0.15316104888916016,0.1290862262248993,0.10467475652694702
CAB LOOM,DEFECTIVE CONTACTS,SET OF WIRING,0.0,121.369126," COMPLAINT  HUMI ​​FM RADIO   CPRZ IMPROPER CONTACT IN THE MASS CONNECTION OF THE CAB HARNESS WITH THE RADIO ANTENNA FROM SIDE. VEHICLE INSTALLATION  CORRECTION  REMOVING EXCESS VARNISH, RESTORING THE CONNECTION",Human Error,Type of Failure,Defective Component,Defective Part,Material Failure,0.2000344693660736,0.1671871542930603,0.16098947823047638,0.13807177543640137,0.10740041732788086
PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,1.0,112.384787,"COMPLAINT  engine light, no power  CPRZ short circuit in the adblue heater circuit  CORRECTION  diagnostics, heater replacement",Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.21374531090259552,0.1830538809299469,0.16575586795806885,0.15708568692207336,0.11141221970319748
PIPES AD-BLUE,CRACKED,FILLER NECK,1.0,358.453488, COMPLAINT AD-BLUE LEAKING WHEN FILL AT PDI  CAUSE CHECKED AD-BLUE FILLER NECK CRACKED AND LEAKING  CORRECTION REPLACED AD-BLUE FILL NECK AND TEST ALL OK,Type of Failure,Defective Component,Number of Parts Replaced,Defective Part,Material Failure,0.21111786365509033,0.1532646268606186,0.15136118233203888,0.1361706256866455,0.10725829005241394
BATTERY,LOW OUTPUT/EFFICIENCY,BATTERY,0.0,49.0, DAMAGE TYPE  QADRO TURN ON - DOES NOT START   CAUSE 5801793720   CORRECTION 762010100 S-R 1 BATTERY 762010402 RECHARGE 1 BATTERY DISCONNECTED 762010424 TEST BATTERY/S WITH U.D.T. 769130404 EFFICIENCY CONTROL ELECTRICAL SYSTEM CONNECTION CONTACTS,Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.25255823135375977,0.2071281373500824,0.1521557718515396,0.13899417221546173,0.0928097516298294
CONNECTIONS,DEFECTIVE CONTACTS,SUPPORT,1.0,63.02," REKL  BAD START   BASIC GROUND PLATE OXIDIZED   CORRECTION  CHECK GROUND CONNECTIONS, REPLACE GROUND PLATE",Type of Failure,Number of Parts Replaced,Defective Part,Defective Component,Material Failure,0.18128356337547302,0.17194940149784088,0.15944217145442963,0.14669983088970184,0.13535912334918976
SIDE REPEATER LAMP,WATER INFILTRATION,DIRECTION LAMP,3.0,131.73,"COMPLAINT  INDICATORS IN MIRROR REPLACED L+R PHOTOS 
TO MAKE. CAUSE  WATER INFILTRATION CORRECTION  FLASHING LIGHTS IN THE MIRRORS ARE FULL 
CONDENSATION, THESE ARE LEAK, REPLACE THEM. ( SEE 
PHOTOS) 2 INDICATORS ON SIDES OF CABIN U-
I",Defective Component,Type of Failure,Defective Part,Number of Parts Replaced,Material Failure,0.18220770359039307,0.16253431141376495,0.15365390479564667,0.1301521509885788,0.12103795260190964
PREHEATER PLUGS,SHORT CIRCUIT,HEATER PLUG,4.0,621.15,"REKL  Check engine light in the cluster / start/stop without function  REASON Glow plugs have incorrect resistance - short circuit  CORRECTION  Preparation UDT station
Diagnosis of engine EDC system
.
769110WTR=
Further work on the electrical system 30 work value
Check engine electrical system
Carry out a guided test in eTim
Check/measure cabling and plugs
Check/measure voltage supply
Engine - Check/measure CAN bus
Check terminating resistance
Check fuses and relays
Power supply to the
Check/measure glow plugs
All resistances of the glow plugs
check/measure
Test drive with actual value check according to Rep.
Carry out a leak check
.
Remove and install air filter group
Flap body/throttle valve
remove, install
Removing and installing a set of glow plugs
renew
Reset EDC control unit parameters
Diagnosis engine EDC system according to Rep.
Test the control units and delete the error memory",Defective Part,Defective Component,Human Error,Type of Failure,Number of Parts Replaced,0.1302310675382614,0.1299760639667511,0.1276368796825409,0.126321479678154,0.1245700791478157
ANS 24H RECOVERY CHARGE,DEFECT,HYDRAULIC LINE,0.0,231.0,Goals  RESCUED FROM ALINGSÅS  Reason  RESCUED FROM ALINGSÅS  Change SAVED FROM ALINGSAU,Type of Failure,Number of Parts Replaced,Defective Part,Defective Component,Total Cost Incurred,0.16408127546310425,0.1615552455186844,0.154840350151062,0.15130160748958588,0.10977502167224884
CAB REARVIEW MIRROR,DEFECT,REAR MIRROR LEFT,1.0,121.76,"COMPLAIN  nothing is visible in the left rearview mirror - it vibrates  CAUSE faulty steering wheel of the left rear-view mirror-vibrates   CORRECTION  checking and adjusting the mirror, DM of the left front rear mirror, 
replacement of the rear view mirror",Defective Component,Type of Failure,Material Failure,Defective Part,Number of Parts Replaced,0.18801845610141754,0.18547721207141876,0.16557031869888306,0.1521264761686325,0.10603933036327362
AD-BLUE METERING DEV MODU,SHORT CIRCUIT,NOZZLE,1.0,138.41, DAMAGE TYPE  GOES INTO PROTECTION  CAUSE  ADBLUE INJECTOR FAILURE   CORRECTION REPLACEMENT,Type of Failure,Material Failure,Defective Part,Defective Component,Number of Parts Replaced,0.3563235402107239,0.15965726971626282,0.12369141727685928,0.11446037888526917,0.09385959804058075
ANS 24 HOURS,MISCELLANEOUS,WATER PUMP,0.0,176.511628,COMPLAINT TRAVEL CAUSE TRAVEL CORRECTION TRAVEL,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.281821072101593,0.1576002836227417,0.15688934922218323,0.11422549188137054,0.09840714186429977
SLIDING DOOR WHEEL,BREAK,SUPPORT,1.0,43.4,"CLAIM  SIDE DOOR FAIL AND DOOR MARK OPEN  CAUSE SIDE DOOR LOWER ARM, BROKEN SPRING  SOLUTION REPLACE SIDE DOOR LOWER ARM",Type of Failure,Defective Part,Number of Parts Replaced,Defective Component,Material Failure,0.23333142697811127,0.15098509192466736,0.13745172321796417,0.1359725147485733,0.12374396622180939
PARTICULATE SENSOR,DEFECT,PM SENSOR,1.0,484.81,REKL  Soot particle filter cannot be regenerated  REASON Particle quantity sensor defective  CORRECTION  Particle quantity sensor replaced after testing,Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.29105183482170105,0.1976197063922882,0.1871461570262909,0.10436120629310608,0.09596390277147293
HALF SHAFTS,BREAK,SIDE SHAFT,1.0,464.29, DAMAGE TYPE  ... ENGAGING GEARS DOES NOT SHIFT   CAUSE ... LEFT HALF-SHAFT BROKEN   CORRECTION  ... CHECK AND REPLACEMENT OF THE LEFT HALF-SHAFT AND EXTRACTION OF BROKEN PARTS,Type of Failure,Defective Component,Number of Parts Replaced,Defective Part,Material Failure,0.19293007254600525,0.18150000274181366,0.1469910591840744,0.1434212625026703,0.13822463154792786
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,PISTON ASSY,0.0,915.8,REKL  VEHICLE TOWED FROM BREAKDOWN  REASON VEHICLE TOWED DUE TO BREAKDOWN  CORRECTION  VEHICLE TOWED AFTER BREAKDOWN,Number of Parts Replaced,Type of Failure,Material Failure,Defective Component,Defective Part,0.20491425693035126,0.19966283440589905,0.11841083317995071,0.11680734157562256,0.1060199961066246
NOX DETECTION SENSOR,DEFECTIVE CONTACTS,NOX SENSOR,1.0,269.91, COMPLAINT ENGINE AND INDUCEMENT LIGHT ON IC  CAUSE NOX SENSOR DEFECTIVE CONTACTS  CORRECTION REPLACE NOX SENSOR,Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.3430708348751068,0.1988188773393631,0.1363765448331833,0.0866929292678833,0.08617117255926132
STABILIZER FLEX SUPPORT,INCORRECT CLEARANCE,SILENTBLOCK,8.0,58.56,"COMPLAIN  rear axle bangs when driving over bumps  CAUSE faulty wheel of the rear stabilizer bushings  CORRECTION inspection of the rear axle, d-m rear stabilizer, revision 
stabilizer, replacement of stabilizer bushings",Type of Failure,Defective Component,Number of Parts Replaced,Material Failure,Defective Part,0.1874048262834549,0.1677493453025818,0.16320358216762543,0.15201467275619507,0.13747182488441467
RADIATOR,DEFORMED,WATER RADIATOR,1.0,233.9648,"TEMPERATURE  The customer brought his vehicle for periodic maintenance. FROM WHERE  During the general checks made on the vehicle, it was determined that water was leaking from the radiator of the vehicle. 
It was seen that it was leaking from the honeycomb section of the vehicle's radiator.  It was determined that the vehicle's radiator core was leaking water, it was replaced and the fault was resolved.
THD reference no: 107520405",Number of Parts Replaced,Type of Failure,Defective Component,Material Failure,Defective Part,0.2219061553478241,0.16462229192256927,0.13806061446666718,0.13281454145908356,0.1181703582406044
SUSP.LOWER/TOP TIE-RODS,TOO LOOSE/FLEXIBLE,SILENTBLOCK,17.0,565.31991,COMPLAINT  FRONT SUSPENSION BUSHINGS  CPRZ PLAY ON LOWER WARM PINS  CORRECTION  REPLACEMENT OF SWING ARM PINS,Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,Material Failure,0.1895662099123001,0.1865498423576355,0.14168493449687958,0.13921408355236053,0.11017847061157227
ELECTRONIC UNIT,DEFECT,KIT-ELECTR.UNIT,0.0,67.801608,"COMPLAIN  Illuminates for a fault on the electronic handbrake  CAUSE Handbrake must be calibrated  CORRECTION Readout and deletion of errors on the electronic handbrake
Calibration",Defective Component,Type of Failure,Defective Part,Material Failure,Number of Parts Replaced,0.21047058701515198,0.20225179195404053,0.18714261054992676,0.12131337076425552,0.09338338673114777
DOOR CONN. FIXED PART,DEFECT,SLIDING CONTACT,2.0,120.84," COMPLAINT  RIGHT SLIDING DOOR SHOWS DOOR OPEN MESSAGE ON DISPLAY OCCASIONALLY ON BAD ROAD SURFACE. PLEASE RESTORE DIAGNOSIS.  CAUSE  DEFECT   CORRECTION  CHECK DOOR, THE SLIDING DOOR CONTACTS ARE DEFECTIVE, REPLACE THEM. DOOR ADJUSTED AND MALFUNCTION HAS BEEN RESOLVED. LOCK SLIDING DOOR CTR U-I CONNECTION FIXED PART SLIDING DOOR U-I CONNECTION MOBILE PART BACK DOOR ADJUSTING DIAGNOSIS ON DOOR OPEN SIGNAL.",Defective Component,Number of Parts Replaced,Defective Part,Type of Failure,Total Cost Incurred,0.16616389155387878,0.15811556577682495,0.1477290391921997,0.11239869892597198,0.11029967665672302
LOCKS,LOW OUTPUT/EFFICIENCY,DOOR LOCK,1.0,54.8944,"TEMPERATURE  sliding door gives open warning, door does not lock
 FROM WHERE  Inspections revealed that the middle door lock mechanism of the vehicle was defective.
It was determined that the door was always open without opening the lock bead. 
has been made. PROCEDURE  door lock was replaced and the problem was resolved.",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.26960456371307373,0.20879830420017242,0.1454077959060669,0.12686361372470856,0.10679396241903305
NOX DETECTION SENSOR,SHORT CIRCUIT,SENSOR,1.0,134.9456,"TEMPERATURE  WARNING LAMP IS ON WHY  INTERNAL NOX SENSOR IS DEFECTIVE AFTER SCR IN CHECKS 
IT WAS DETECTED AS. PROCEDURE  NOX SENSOR WAS CHANGED.",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.3333434760570526,0.24110105633735657,0.15226693451404572,0.07433207333087921,0.0636792853474617
SLEEVES,LOOSE RETAINER,RUBBER SLEEVE,1.0,169.07, COMPLAINT  CHARGE AIR HOSE LOOSE   CAUSE  CHARGE AIR HOSE LOOSE   CORRECTION CHARGE AIR HOSE REPLACEMENT AND UNDER!!!!!!!!!!! SRR REPORT 107136692!!!!!!!!!!!!!,Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.20500145852565765,0.1863694041967392,0.15438099205493927,0.1424400359392166,0.11068471521139145
BRAKE CALIPER,BLOCKAGE,BRAKE SADDLE,2.0,409.88, REKL  CHECK REAR AXLE BRAKE   REASON CHECK REAR AXLE BRAKE: CALIPER DEFECTIVE/PARKING BRAKE   CORRECTION CHECK REAR AXLE BRAKE: CALIPER DEFECTIVE/PARKING BRAKE. DAMAGE FINDINGS ASSESSED AND DEFECTIVE BRAKE CALIPER REPLACED/BLEEDED,Defective Component,Defective Part,Number of Parts Replaced,Type of Failure,Material Failure,0.265261709690094,0.20095369219779968,0.13825781643390656,0.13351505994796753,0.09782156348228455
RADIATOR,DEFORMED,WATER RADIATOR,2.0,421.128421,COMPLAINT  COOLING FLUID LEAK  CPRZ DEFORMED WATER COOLER - BENT  CORRECTION  REPLACEMENT OF WATER COOLER,Type of Failure,Number of Parts Replaced,Material Failure,Defective Component,Design Flaw,0.24938078224658966,0.24386265873908997,0.1153126209974289,0.10408126562833786,0.10091763734817505
STARTER MOTOR ASSY,DEFECT,STARTER MOTOR,1.0,145.977628,COMPLAINT  HARD STARTS CPPR  FAILURE STARTER  CORRECTION REPLACING THE STARTER,Type of Failure,Number of Parts Replaced,Defective Part,Defective Component,Material Failure,0.21876534819602966,0.16606225073337555,0.15070271492004395,0.14811010658740997,0.11121870577335358
ANS 24 HOURS,MISCELLANEOUS,CENTERING PIN,0.0,140.023256,COMPLAINT ATTEND KINGSGATE AYLESBURY CAUSE ATTEND KINGSGATE AYLESBURY CORRECTION ATTEND KINGSGATE AYLESBURY,Type of Failure,Defective Component,Defective Part,Material Failure,Number of Parts Replaced,0.2801899313926697,0.1728566586971283,0.17112578451633453,0.09072746336460114,0.085312619805336
AUTOMATIC TRANSM.ASSY,INCORRECT PRESSURE,AUTOM.TRANSMISSION,1.0,-1320.0, COMPLAINT FAILUREDESCR  CAUSE CAUSEDESCR  CORRECTION CORRECTIONDESCR,Type of Failure,Defective Component,Defective Part,Material Failure,Number of Parts Replaced,0.23275601863861084,0.16115333139896393,0.16106104850769043,0.10298173874616623,0.09718818217515945
SLEEVES,BREAK,RUBBER SLEEVE,1.0,269.835791," COMPLAINT  MILAGE LIGHT ON, NO POWER   CAUSE BROKEN BUSHING, UK AD INTERCOOLER   CORRECTION  REPLACEMENT OF BUSHINGS, UK AD INTERCOOLER",Type of Failure,Number of Parts Replaced,Material Failure,Defective Component,Defective Part,0.21173445880413055,0.1850813329219818,0.16487814486026764,0.13930633664131165,0.13114570081233978
PEDAL ASSEMBLY,DEFECT,PEDAL ASSY.,2.0,127.7," DAMAGE TYPE  BROKEN PEDAL AND SWITCH SUPPORT WITH SUBSEQUENT BRAKE LOCKING (SEE PHOTO)   CAUSE FAILURE OF THE SENSOR SUPPORT PLASTIC PART   CORRECTION  REPLACEMENT OF THE PEDAL BOARD AND BRAKE SENSOR (HOLES MADE IN THE NEW PEDAL BOARD FOR THE PASSAGE OF THE ELECTRIC CRANE CONTROL CABLES) PHOTOS, AND THEY WERE ALSO PRESENT IN THE FIRST SYSTEM",Type of Failure,Defective Part,Material Failure,Defective Component,Number of Parts Replaced,0.3424255847930908,0.14243419468402863,0.1345890313386917,0.10636745393276215,0.10537100583314896
CROWN WHEEL AND PINION,SEIZURE,BEVEL DRIVE,15.8,1234.439999,"COMPLAINT  THERE'S SOME NOISE WHILE DRIVING, IT SOUNDS LIKE IT'S UNDER THE CAR  CPRZ FAILURE INSPECTION. WORN FINAL GEAR TEETH. BAD 
COOPERATION CORRECTION  REPLACEMENT OF MAIN GEAR, BEARINGS",Type of Failure,Number of Parts Replaced,Defective Component,Material Failure,Defective Part,0.18910229206085205,0.1553322821855545,0.15311487019062042,0.15047205984592438,0.14332443475723267
INPUT SHAFT GASKET,BREAK,SHAFT SEAL,7.0,81.99,DAMAGE TYPE  GEARBOX OIL LEAK CAUSE  FRONT GEARBOX OIL SEAL BROKEN  CORRECTION REPLACEMENT. GEARBOX AND REPLACEMENT OIL SEAL OIL,Type of Failure,Defective Component,Defective Part,Material Failure,Number of Parts Replaced,0.2671748697757721,0.17788836359977722,0.16847853362560272,0.142569899559021,0.1049312949180603
PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,309.35,"COMPLAINT Inducement light is on. Reduced engine power. Creep mode is ON CAUSE Fault memory readed-> Ureasystem failure on error memory. Urea 
system tested-> ECM system checked-> Measured wire harness-> 
Urea pipe heater resistor faulty CORRECTION Renew ureapipe. Ureatest and",Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.22075770795345306,0.17318682372570038,0.15393823385238647,0.1422230750322342,0.10932676494121552
RADIATOR,DEFECT,WATER RADIATOR,1.0,348.712832," COMPLAINT  COOLING RADIATOR CHECKED  CAUSES  COOLING RADIATOR DEFECTIVE, DEFORMED, THEY ARE NOT 
EXTERIOR DAMAGE TRACKS  CORRECTION  COOLING RADIATOR REPLACED",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.36727720499038696,0.23017001152038574,0.12737859785556793,0.08821377903223038,0.07376301288604736
EXPANSION VALVE,DEFECT,HEATING TUBE,2.0,54.903157,"COMPLAINT  AIR CONDITIONING IS COOLING POORLY  CPRZ CHECK FOR LEAKS, LACK OF REFRIGERANT, LEAKAGE FROM 
LOW PRESSURE LINE VALVE CORRECTION  VALVE REPLACEMENT, REFRIGERANT REPLACEMENT",Type of Failure,Defective Component,Number of Parts Replaced,Defective Part,Material Failure,0.1920951008796692,0.17359088361263275,0.16715213656425476,0.13824018836021423,0.12797819077968597
PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,1.0,111.14,COMPLAIN  AD BlUE error lights up CAUSE  Diagnostics - short circuit of AD BLUE hose heating  CORRECTION Exchange,Type of Failure,Defective Part,Defective Component,Number of Parts Replaced,Material Failure,0.24449972808361053,0.15348894894123077,0.1512126624584198,0.13863173127174377,0.12452822923660278
PUMP DRIVE GASKET,DEFORMED,O-RING,1.0,106.951579, COMPLAINT  LEAKAGE FROM THE CR PUMP AREA   CPRZ DEFORMED HIGH PRESSURE PUMP O-RING   CORRECTION  REPLACEMENT OF THE HIGH PRESSURE PUMP O-RING,Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,Material Failure,0.19235117733478546,0.18187390267848969,0.16910511255264282,0.1534455269575119,0.1191432774066925
CYLINDER BARRELS,INCORRECT CLEARANCE,CRANKCASE,10.0,10222.73,"COMPLAIN  engine clinking while driving - at idle you can hear a clatter from the space 
clutches CAUSE  INCORRECT CLEARANCE  CORRECTION  diagnostics, engine fault detected, repair calculation, engine replacement, 
programming, engine test, driving test",Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.22827684879302979,0.1963113397359848,0.15422797203063965,0.1166488528251648,0.09581731259822845
PARTICULATE TRAP,DEFECT,CATALYTIC SILENCER,1.0,2127.252009,"COMPLAIN  Illuminates for fault on DPF
The car is running in emergency mode CAUSE  Error on particle filter, does not work  CORRECTION Readout and deletion of errors on the DPF
Delta P sensor and hoses removed and installed.
Regeneration done
2 guided procedures followed = economy
Particulate filter replaced.",Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.21671201288700104,0.16536957025527954,0.15809576213359833,0.14413873851299286,0.12370976060628891
LOCK,DEFECTIVE CONTACTS,DOOR LOCK,0.0,80.41,"COMPLAINT  Driver's door sometimes does not work with central locking (sometimes works 
not open/close, have to press key several times) CAUSE  bad contact on lock  CORRECTION door lock dismantled + control/cleaning of contacts door lock",Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.21637696027755737,0.18976254761219025,0.16356335580348969,0.16355162858963013,0.10167627036571503
ANS 24 HOURS,MISCELLANEOUS,RUBBER SLEEVE,0.0,148.557692,"REKL  Drive from Rudolfstetten to Tony Besserer AG in Nesselbach. vehicle 
load up and transfer to Rudolfstetten.
km total: 26 REASON  Drive from Rudolfstetten to Tony Besserer AG in Nesselbach. vehicle 
load up and transfer to Rudolfstetten.
km total: 26 CORRECTION  Drive from Rudolfstetten to Tony Besserer AG in Nesselbach. vehicle 
load up and transfer to Rudolfstetten.
km total: 26",Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,Total Cost Incurred,0.19236931204795837,0.1631706804037094,0.1281573623418808,0.11642403900623322,0.11534906178712845
ABS CONTROL UNIT CONN.,BREAK,CABLE STRAP,12.0,115.1,CLAIM  grated and cut ABS installation CAUSE  grated and cut ABS installation  SOLUTION repair ABS installation,Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.22770196199417114,0.15966098010540009,0.14822834730148315,0.14063064754009247,0.11586406826972961
ACTUATOR AIR PIPES,CRACKED,RUBBER SLEEVE,2.0,149.86,"COMPLAIN  Low engine power, vehicle reports incomplete regeneration  CAUSE fault check - el. diagnostics, broken hose  CORRECTION  Hose replacement, forced regeneration",Type of Failure,Defective Component,Number of Parts Replaced,Defective Part,Material Failure,0.28424063324928284,0.1587316393852234,0.14959892630577087,0.14285671710968018,0.12121831625699997
TEMPERATURE SENSOR,DEFECT,SENSOR,1.0,103.664429," COMPLAINT  EDC light check engine.  CPRZ  Automatic abrasion of the electric beam. temperature sensor before the catalytic converter, incompatible signal.  CORRECTION  Replacement of the temperature sensor in front of the catalytic converter.",Defective Component,Type of Failure,Defective Part,Number of Parts Replaced,Material Failure,0.2010965198278427,0.19326533377170563,0.18128913640975952,0.16030475497245789,0.10477124899625778
RADIATOR SLEEVES,CRACKED,WATER PIPE,6.5,66.73,COMPLAIN  Severe coolant leak CAUSE  defect check - cracked cooling pipe. water  CORRECTION  Pipe replacement,Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.26465877890586853,0.19799494743347168,0.1818137913942337,0.12770451605319977,0.11848942935466766
OUTER HANDLE,BREAK,DOOR HANDLE,1.0,299.008042,"COMPLAIN  sliding door cannot open CAUSE  internal cable assembly on sliding door handle is broken  CORRECTION sliding door pryed up 15 WU, handle replaced and door adjusted to suit 
Rep",Number of Parts Replaced,Type of Failure,Defective Part,Defective Component,Material Failure,0.2726203501224518,0.16393278539180756,0.13288767635822296,0.1299523413181305,0.11704576015472412
LOCK,BLOCKAGE,DOOR LOCK,1.0,128.91,"COMPLAINT  LEFT DOOR DOES NOT CLOSE  CAUSE LOCK BLOCKED  CORRECTION LOCK REPLACED FOR THIS THE UPHOLSTERY MUST BE DE-EN 
TO ASSEMBLE",Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.19251973927021027,0.1702025830745697,0.15870875120162964,0.13945722579956055,0.1274169683456421
BATTERY,LOW OUTPUT/EFFICIENCY,BATTERY,1.0,270.51,DAMAGE TYPE  UNABLE TO COMPLETE MAPO CAUSE  BATTERY IS LOW  CORRECTION DONE THREE CHARGES AND REPLACED THE BATTERY,Type of Failure,Number of Parts Replaced,Defective Component,Material Failure,Defective Part,0.23773784935474396,0.18900401890277863,0.1579877883195877,0.1279025375843048,0.1242183968424797
REAR VAN DOORS,SHORT CIRCUIT,DUMMY MATERIAL FOR CAUSAL PART,0.0,421.768708,"COMPLAINT Check barn doors not closing CAUSE plug on rh door not connected correctly CORRECTION removed rh panel on door and found plug for sliding pin connector 
not 
in plugged in and re routed wiring to have less tension checked 
operation okay.
No SRT used extra labour as below
to diagnose fault and reroute wiring 8 units
See attached toe invoice @ $485",Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,Material Failure,0.189577117562294,0.1802695393562317,0.14645646512508392,0.12414505332708359,0.11406419426202774
NOX DETECTION SENSOR,DEFECTIVE CONTACTS,SENSOR,1.0,379.53, REKL  Inducement error.  REASON  NOX sensor after KAT defective.  CORRECTION  Wiring to the NOX sensors and AdBlue system checked. Sensor replaced after KAT. Error memory deleted.,Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.3076065480709076,0.20891867578029633,0.15322230756282806,0.10630528628826141,0.09059663116931915
RADIATOR EXPANSION TANK,DEFECT,EXPANSION TANK,1.0,124.69, DAMAGE TYPE  ENGINE LIGHT COMES ON  CAUSE  DIAGNOSIS WITH UDT; ERROR 00006D - 02 DETECTED FOR ENGINE COOLANT PRESSURE SENSOR; CHECKED AND FOUND THAT THE S ENSOR INSIDE THE EXPANSION TANK WAS DEFECTIVE / FAILURE  CORRECTION  REPLACING THE ENGINE COOLANT EXPANSION TANK,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.2536363899707794,0.24886685609817505,0.16230298578739166,0.13924053311347961,0.0880810022354126
