DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Cause_of_Failure,Human_error,Design_Flaw,Material,Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Total Cost Incurred,Cause of Failure: Human Error,Cause of Failure: Design Flaw,Cause of Failure: Material Issue
"reklamace Vozidlo sa nedá naštartovať příč. Na vozidle boli prevedené merania kábelových zvazkov okruhu BCM, diagnostika BCM. Na základe doporučenia Technical support specialisttu update BCM , fiktívna výmena BCM.. Až po fyzickej kontrole vešetkých koncových stupňoch BCM, ktoré sa podialajú na blokovaní štartovnia - zistený skrat na čidle prítomnosti vody v palivovom filtri..Vymenená poistka. oprava Výjazd k vozidlu LM- Dechtáre 

-ECONOMY - Výjazd k vozidlu, premeranie káblových zvazkov",WATER IND SENSOR,SHORT CIRCUIT,SENSOR,0.0,45.5,"complaint  The vehicle cannot be started   Measurements of the BCM circuit cable bundles, BCM diagnostics were carried out on the vehicle. Based on the recommendation of the Technical support specialist, BCM update, fictitious BCM replacement.. Only after a physical check of all final BCM stages, which are used to block the starter - a short circuit detected on the sensor for the presence of water in the fuel filter.. Replaced the fuse. fix  Exit to the LM vehicle - Dechtáre 

- ECONOMY - Exit to the vehicle, measurement of cable bundles","{'Type of Failure': 0.13662660121917725, 'Defective Component': 0.1309199035167694, 'Defective Part': 0.12641680240631104, 'Cause of Failure: Material Issue': 0.12554797530174255, 'Number of Parts Replaced': 0.12475322932004929, 'Cause of Failure: Design Flaw': 0.12337666749954224, 'Cause of Failure: Human Error': 0.12091688811779022, 'Total Cost Incurred': 0.1114419475197792}",0,0,1,0,0,0,0,0,0,0,0
"SKARGA Czas dojazdu na i 
z miejsca pracy 147km CPRZ Czas dojazdu na i 
z miejsca pracy 147km KORECTA Czas dojazdu na i 
z miejsca pracy 147km",ANS 24 HOURS,MISCELLANEOUS,DPF PRESSURE SENSOR,0.0,185.684211,"COMPLAINT  Travel time to i 
from work 147km CPRZ  Travel time to i 
from work 147km KORECTA  Travel time to i 
147 km from work","{'Type of Failure': 0.24036768078804016, 'Defective Part': 0.17000646889209747, 'Defective Component': 0.15915101766586304, 'Number of Parts Replaced': 0.10351485013961792, 'Cause of Failure: Material Issue': 0.08802277594804764, 'Cause of Failure: Human Error': 0.08661594986915588, 'Total Cost Incurred': 0.08648364990949631, 'Cause of Failure: Design Flaw': 0.06583762168884277}",0,0,1,0,0,0,0,0,0,0,0
" COMPLAINT AIR SUSPENSION NOT WORKING  CAUSE CARRY OUT CHECKS FOUND FUSE BLOWN, FUSE BLOWN AGAIN CHECK ECM FAULTS TRACE WIRING FOUND CHAFFED WIRE IN ENGINE LOOM  CORRECTION REPAIR WIRE NOT OK",ENG HOOD WIRING HARNESS,SHORT CIRCUIT,MOTOR HARNESS,2.0,16.093024," COMPLAINT AIR SUSPENSION NOT WORKING  CAUSE CARRY OUT CHECKS FOUND FUSE BLOWN, FUSE BLOWN AGAIN CHECK ECM FAULTS TRACE WIRING FOUND CHAFFED WIRE IN ENGINE LOOM  CORRECTION REPAIR WIRE NOT OK","{'Type of Failure': 0.23094245791435242, 'Defective Component': 0.16487620770931244, 'Number of Parts Replaced': 0.13249988853931427, 'Defective Part': 0.12806349992752075, 'Cause of Failure: Material Issue': 0.12496764957904816, 'Cause of Failure: Design Flaw': 0.08111847192049026, 'Cause of Failure: Human Error': 0.07254280149936676, 'Total Cost Incurred': 0.06498899310827255}",0,0,1,0,0,0,0,0,0,0,0
"COMPLAINT IKKE LYS I FRONTLAMPE V/S CAUSE DEFEKT KONTAKT / PINNE TIL MINUS CORRECTION KONTROLLERT LYSPÆRE -> LYSPÆRE OK
DEMONTERT OG FEILSØKT VENSTRE FRONTLAMPE
PINNE BRUKKET (MINUS) PÅ LAMPE (DEFEKT KONTAKT)
SKIFTET LAMPE -> MEN LYSER FORTSATT IKKE
KONTROLLERT OG MÅLT LEDNING TIL LAMPE
ETTER ENDEL FEILSØKING OPPDAGES FEIL PÅ JORDING
REP AV KABEL OG TEST AV LAMPE -> LYSER
HAR TESTET GAMMEL LAMPE ETTERPÅ -> FORTSATT DØD.
EKSTRA TID PÅ FEILSØKING OG REP AV KABEL = ECONOMY 
",HEADLAMP ASSY,DEFECTIVE CONTACTS,HEADLIGHT,1.0,1345.72,"COMPLAIN  NO LIGHT IN FRONT LAMP V/S  CAUSE DEFECTIVE CONTACT / PIN TO MINUS  CORRECTION  CHECKED LIGHT BULB -> LIGHT BULB OK
DISMANTLED AND TROUBLESHOOTED LEFT FRONT LAMP
PIN BROKEN (MINUS) ON LAMP (DEFECTIVE CONTACT)
CHANGED LAMP -> BUT STILL DOESN'T LIGHT UP
CHECKED AND MEASURED WIRE TO LAMP
AFTER COMPLETE TROUBLESHOOTING, GROUNDING ERRORS ARE DISCOVERED
REP OF CABLE AND TEST OF LAMP -> LIGHTS
HAVE TESTED OLD LAMP AFTER -> STILL DEAD.
EXTRA TIME FOR TROUBLESHOOTING AND CABLE REP = ECONOMY","{'Defective Component': 0.13739874958992004, 'Type of Failure': 0.13333208858966827, 'Defective Part': 0.1315140724182129, 'Cause of Failure: Material Issue': 0.12813778221607208, 'Cause of Failure: Human Error': 0.12647365033626556, 'Cause of Failure: Design Flaw': 0.12026754766702652, 'Number of Parts Replaced': 0.1140129342675209, 'Total Cost Incurred': 0.10886318236589432}",1,0,0,0,0,0,0,0,0,0,0
 REKL SCHIEBETüR ZEIGT IMMER OFFEN AN TüRKONTAKT KEIN DURCHGANG  GRUND SCHIEBETüR ZEIGT IMMER OFFEN AN TüRKONTAKT KEIN DURCHGANG  KORRECTUR SCHIEBETüR ZEIGT IMMER OFFEN AN TüRKONTAKT KEIN DURCHGANG ERN,DOOR CONN. FIXED PART,DEFECTIVE CONTACTS,SLIDING CONTACT,2.0,129.68, REKL  SLIDING DOOR ALWAYS SHOWS OPEN DOOR CONTACT NO PASSAGE   REASON SLIDING DOOR ALWAYS SHOWS OPEN DOOR CONTACT NO PASSAGE  CORRECTION  SLIDING DOOR ALWAYS SHOWS OPEN DOOR CONTACT NO PASSAGE ERN,"{'Type of Failure': 0.18864360451698303, 'Number of Parts Replaced': 0.1533842831850052, 'Cause of Failure: Material Issue': 0.12238696217536926, 'Total Cost Incurred': 0.1164201945066452, 'Defective Part': 0.1096167266368866, 'Defective Component': 0.10630974173545837, 'Cause of Failure: Human Error': 0.10176972299814224, 'Cause of Failure: Design Flaw': 0.10146868228912354}",0,0,1,0,0,0,0,0,0,0,0
 SKARGA B D AIRBAG  CPRZ BRAK AKTUALIZACJI MODULU PODUSZKI  KORECTA AKTUALIZACJA ICT,CHASSIS LOOM,UPDATE ENGINE ECU MS6.3,FRAME WIRING,0.0,26.628636, COMPLAINT  B D AIRBAG   CPRZ NO PILLOW MODULE UPDATE   CORRECTION  ICT UPDATE,"{'Type of Failure': 0.2082017958164215, 'Defective Component': 0.18999969959259033, 'Number of Parts Replaced': 0.17667816579341888, 'Defective Part': 0.1514476239681244, 'Cause of Failure: Design Flaw': 0.08912920206785202, 'Cause of Failure: Material Issue': 0.08658131957054138, 'Total Cost Incurred': 0.05565350875258446, 'Cause of Failure: Human Error': 0.04230858385562897}",0,0,1,0,0,0,0,0,0,0,0
 RECLAMO REVISAR TESTIGO FRENO DE ESTACIONAMIENTO NO FUNCIONA EQUIPO  CAUSA FALLO SOFTWARE CENTRALITA ABS CAUSANTE AVERIA.  SOLUCION DIAGNOSIS. SEGUIR PASOS GUIADOS EN E-TIM SOBRE MODULO EPB. REVISAR INSTALACION ELECTRICA: CONEXIONES Y ALIMENTACIONES. CALIBRACION SENSORES ESP Y ACTUADORES ELECTRICOS FRENO ESTACIONAMIENTO. REPROGRAMAR SOFTWARE CENTRALITA.,ELECTRONIC UNIT,NO WARNING,VALVE ANTILOCK BRAKE,0.0,143.5, CLAIM  CHECK PARKING BRAKE LIGHT EQUIPMENT NOT WORKING   CAUSE SOFTWARE FAILURE ABS CONTROLLER CAUSING FAULT.  SOLUTION  DIAGNOSIS. FOLLOW GUIDED STEPS IN E-TIM ON EPB MODULE. CHECK ELECTRICAL INSTALLATION: CONNECTIONS AND POWER SUPPLY. CALIBRATION OF ESP SENSORS AND ELECTRIC PARKING BRAKE ACTUATORS. REPROGRAM SWITCHBOARD SOFTWARE.,"{'Type of Failure': 0.24115246534347534, 'Defective Component': 0.16909876465797424, 'Defective Part': 0.14850832521915436, 'Cause of Failure: Material Issue': 0.11470450460910797, 'Number of Parts Replaced': 0.10948766022920609, 'Total Cost Incurred': 0.08273158222436905, 'Cause of Failure: Design Flaw': 0.07816536724567413, 'Cause of Failure: Human Error': 0.056151267141103745}",0,0,1,0,0,0,0,0,0,0,0
"COMPLAINT INVESTIGATE WARN LIGHTS ON CAUSE INTERNAL SHORT IN THE EGR VALVE CORRECTION USED 769112100 TO CHECK AND TEST WIRING ON BRD AS 
NO SRT AVAILABLE. CONNECT TO UDT CHECK AND CLEAR 
CODES. REMOVE AND REFIT GEARBOX,C LUTCH, AIR 
FILTER AND AD BLUE TANK FOR ACCESS. REMOVE AND 
REPLACE EGR VALVE. CARRY OUT ROAD TEST. USED 
ECONOMY TIME ON BREAKDOWN TO ARRANGE RECOVERY 
AS NO SRT AVAILABLE.",EGR HEAT EXCHANGER,SHORT CIRCUIT,EGR VALVE,10.0,1194.95349,"COMPLAINT INVESTIGATE WARN LIGHTS ON CAUSE INTERNAL SHORT IN THE EGR VALVE CORRECTION USED 769112100 TO CHECK AND TEST WIRING ON BRD AS 
NO SRT AVAILABLE. CONNECT TO UDT CHECK AND CLEAR 
CODES. REMOVE AND REFIT GEARBOX,C LUTCH, AIR 
FILTER AND AD BLUE TANK FOR ACCESS. REMOVE AND 
REPLACE EGR VALVE. CARRY OUT ROAD TEST. USED 
ECONOMY TIME ON BREAKDOWN TO ARRANGE RECOVERY 
AS NO SRT AVAILABLE.","{'Number of Parts Replaced': 0.2103690356016159, 'Type of Failure': 0.12497659027576447, 'Defective Part': 0.12486949563026428, 'Defective Component': 0.12459017336368561, 'Cause of Failure: Material Issue': 0.1109260842204094, 'Cause of Failure: Design Flaw': 0.10474316775798798, 'Total Cost Incurred': 0.10289667546749115, 'Cause of Failure: Human Error': 0.09662877768278122}",0,0,1,0,0,0,0,0,0,0,0
COMPLAINT Faulty light for side door. CAUSE Side door connectors not working properly. CORRECTION Changed side door connectors.,DOOR CONN. FIXED PART,DEFECTIVE CONTACTS,SLIDING CONTACT,2.0,121.96,COMPLAINT Faulty light for side door. CAUSE Side door connectors not working properly. CORRECTION Changed side door connectors.,"{'Type of Failure': 0.2338714301586151, 'Defective Component': 0.18753384053707123, 'Defective Part': 0.17322005331516266, 'Number of Parts Replaced': 0.1262572705745697, 'Cause of Failure: Design Flaw': 0.10391805320978165, 'Cause of Failure: Material Issue': 0.08470644056797028, 'Cause of Failure: Human Error': 0.05714910477399826, 'Total Cost Incurred': 0.033343736082315445}",0,0,1,0,0,0,0,0,0,0,0
" SKARGA POJAZD NIE ODPALA  CPRZ USTERKA INSTALACJI BCM-BRAK NAPIECIA W NI W CBA-USTERKA Z ACZA, WADA AKUMULATORA  KORECTA NAPRAWA Z ACZA OCZKOWEGO W CBA2, WYMIANA AKUMULATORA",CAB LOOM,DEFECT,HOOD WIRING,2.0,252.7651," COMPLAINT  VEHICLE WILL NOT START   CPRZ BCM INSTALLATION FAULT - NO VOLTAGE IN CBA - FAILURE FAILURE, BATTERY DEFECT  CORRECTION  REPAIR OF THE RING CONNECTOR IN CBA2, BATTERY REPLACEMENT","{'Defective Component': 0.2530547082424164, 'Type of Failure': 0.1872074156999588, 'Defective Part': 0.1802343726158142, 'Number of Parts Replaced': 0.11216515302658081, 'Cause of Failure: Material Issue': 0.09033092856407166, 'Cause of Failure: Design Flaw': 0.07231824100017548, 'Total Cost Incurred': 0.05770068243145943, 'Cause of Failure: Human Error': 0.04698852822184563}",0,0,1,0,0,0,0,0,0,0,0
"COMPLAINT LDWS FAULT CAUSE REMOVE LDWS COVER TO CHECK FEEDS/EARTHS & CAN TO 
LDWS SENSOR. FOUND POSITIVE & NEGATIVE OK BUT CAN @ 
90OHMS 1.7V & 1.8V. CHECK ON WI RING DIAGRAM FOR 
OPPOSITE END OF WIRING, REMOVE BC PLUG TO CHECK 
FEEDS/EARTHS OUT OF BC,ALL OK. TRACE PLUG TO OS BEHIND 
DASH,WHERE R ADAR SUBLOOM PLUGS INTO MAIN LOOM,TRY 
TO PULL OUT LOOM. REMOVE MORE PANELS TO CHECK & 
FOUND SUBLOOM TRAPPED BUT UNABLE TO SEE WHERE. 
EMOVE DASH & FOUND TRAPPED WHERE CROSS DASH BRACE 
FITS TO BODY. CORRECTION UNFASTEN BRACE TO REMOVE & REPAIR WIRING. REROUTE. 
RECHECK VOLTAGES,ALL NOW CORRECT. REBUILD ALL REMOVED 
INTERIOR PANELS",CAB LOOM,SHORT CIRCUIT,DASHBOARD WIRING,0.0,477.348836,"COMPLAINT LDWS FAULT CAUSE REMOVE LDWS COVER TO CHECK FEEDS/EARTHS & CAN TO 
LDWS SENSOR. FOUND POSITIVE & NEGATIVE OK BUT CAN @ 
90OHMS 1.7V & 1.8V. CHECK ON WI RING DIAGRAM FOR 
OPPOSITE END OF WIRING, REMOVE BC PLUG TO CHECK 
FEEDS/EARTHS OUT OF BC,ALL OK. TRACE PLUG TO OS BEHIND 
DASH,WHERE R ADAR SUBLOOM PLUGS INTO MAIN LOOM,TRY 
TO PULL OUT LOOM. REMOVE MORE PANELS TO CHECK & 
FOUND SUBLOOM TRAPPED BUT UNABLE TO SEE WHERE. 
EMOVE DASH & FOUND TRAPPED WHERE CROSS DASH BRACE 
FITS TO BODY. CORRECTION UNFASTEN BRACE TO REMOVE & REPAIR WIRING. REROUTE. 
RECHECK VOLTAGES,ALL NOW CORRECT. REBUILD ALL REMOVED 
INTERIOR PANELS","{'Cause of Failure: Material Issue': 0.137190043926239, 'Type of Failure': 0.13587045669555664, 'Cause of Failure: Design Flaw': 0.12871812283992767, 'Number of Parts Replaced': 0.12346760928630829, 'Defective Component': 0.1227244883775711, 'Defective Part': 0.12156447023153305, 'Cause of Failure: Human Error': 0.1193474754691124, 'Total Cost Incurred': 0.11111727356910706}",0,0,1,0,0,0,0,0,0,0,0
"COMPLAINT OLJUD VID TOMGÅNG CAUSE FELSÖKNING: OLJUD VID TOMGÅNG
FEL: MAGNETKOPPLING TILL MOTORFLÄKTEN KVITTRAR PGA. 
KÄRVNING INTERNT
ORSAK TILL FEL: MATERIAL FEL CORRECTION ARBETSMOMENT:
FELSÖKNING
TÖMNING/FYLLNING AC
TÖMNING/FYLLNING KYLARVÄTKSA
DE/MO LUFTBURK
DE/MO STRÅLKASTARE, GRILL, FRONT
DE/MO KYLPACKET
DE/MO FLÄKTVINGE
DE/MO MAGNETKOPPLING - BYTE
FUNKTIONSKONTROLL / PROVKÖRNING - OK
",FAN HUB,LOW OUTPUT/EFFICIENCY,VENTILATOR CONTRO,1.0,1095.85,"COMPLAIN  NOISE AT IDLE  CAUSE  TROUBLESHOOTING: NOISE AT IDLE
ERROR: MAGNETIC COUPLING TO MOTOR FAN CHIRPS BECAUSE. 
CARVING INTERNALLY
CAUSE OF ERROR: MATERIAL ERROR  CORRECTION  WORKING MOMENTS:
TROUBLESHOOTING
EMPTYING/FILLING AC
DRAINING/FILLING COOLANT
DE/MO AIR CAN
DE/MO HEADLIGHTS, GRILL, FRONT
DE/MO COOLING PACK
DE/MO FAN WING
DE/MO SOLENOID CLUTCH - REPLACEMENT
FUNCTIONAL CHECK / TEST DRIVE - OK","{'Cause of Failure: Material Issue': 0.2387547791004181, 'Type of Failure': 0.1339166909456253, 'Number of Parts Replaced': 0.13198867440223694, 'Defective Component': 0.10984709113836288, 'Defective Part': 0.10549360513687134, 'Total Cost Incurred': 0.09748665243387222, 'Cause of Failure: Design Flaw': 0.09471897035837173, 'Cause of Failure: Human Error': 0.08779353648424149}",0,0,1,0,0,0,0,0,0,0,0
"COMPLAINT AdBlue warning light is on and the vehicle is moving at low speed with lack 
of power CAUSE AdBlue pipe is defective CORRECTION AdBlue pipe replacement",PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,133.661416,"COMPLAINT AdBlue warning light is on and the vehicle is moving at low speed with lack 
of power CAUSE AdBlue pipe is defective CORRECTION AdBlue pipe replacement","{'Defective Component': 0.300380140542984, 'Defective Part': 0.23918375372886658, 'Type of Failure': 0.14603208005428314, 'Number of Parts Replaced': 0.09590316563844681, 'Cause of Failure: Material Issue': 0.08851239085197449, 'Cause of Failure: Design Flaw': 0.05168023705482483, 'Cause of Failure: Human Error': 0.042468491941690445, 'Total Cost Incurred': 0.035839762538671494}",0,0,1,0,0,0,0,0,0,0,0
 SKARGA NISKI PEDAL SPRZEGLA  CPRZ ZDEFORMOWANY WYSPRZEGLIK - WYCIEK PLYNU  KORECTA WYMIANA WYSPRZEGLIKA,CLUTCH SYS TANK AND PUMP,DEFORMED,KIT-HYDRAULIC CYL,1.0,95.926174, COMPLAINT  LOW CLUTCH PEDAL   CPRZ DEFORMED CLUTCH - FLUID LEAK   CORRECTION  REPLACEMENT OF THE SLIPPER,"{'Type of Failure': 0.19879494607448578, 'Number of Parts Replaced': 0.17464423179626465, 'Defective Component': 0.16068358719348907, 'Defective Part': 0.15423129498958588, 'Cause of Failure: Material Issue': 0.10107330232858658, 'Cause of Failure: Design Flaw': 0.09748679399490356, 'Cause of Failure: Human Error': 0.05880343168973923, 'Total Cost Incurred': 0.05428247153759003}",0,0,1,0,0,0,0,0,0,0,0
REKL MOTORKONTROLLE AKTIV/LADEDRUCKLUFTSCHLAUCH GRUND EINGERISSEN KORRECTUR SCHLAUCH VOM LADELUFTKUEHLER ERNEUERT,SLEEVES,CRACKED,RUBBER SLEEVE,2.0,134.08,REKL  ENGINE CHECK ACTIVE/CHARGING AIR HOSE  REASON TORN  CORRECTION HOSE FROM INTERCOOLER RENEWED,"{'Number of Parts Replaced': 0.2693686783313751, 'Type of Failure': 0.18002957105636597, 'Defective Component': 0.1161709725856781, 'Cause of Failure: Material Issue': 0.11239158362150192, 'Defective Part': 0.10876661539077759, 'Total Cost Incurred': 0.07171158492565155, 'Cause of Failure: Design Flaw': 0.07106750458478928, 'Cause of Failure: Human Error': 0.07049354910850525}",0,0,1,0,0,0,0,0,0,0,0
" REKL Airbagkontrolle leuchtet  GRUND SteuergerÄt falsche Einstellung  KORRECTUR Fehlerspeicher ausgelesen und gelÍscht, Airbags-SteuergerÄt geprÜft und neu programmiert",INDICATORS INSTRUMENT,INCORRECT ADJUSTMENT,ELECTR. CONTR. UNIT,0.0,69.6," REKL  Airbag indicator lights up   REASON Control unit incorrect setting   CORRECTION  Fault memory read and deleted, airbag control unit checked and reprogrammed","{'Type of Failure': 0.25982651114463806, 'Defective Component': 0.1645950824022293, 'Defective Part': 0.12411651015281677, 'Number of Parts Replaced': 0.10377749800682068, 'Cause of Failure: Material Issue': 0.10316785424947739, 'Cause of Failure: Human Error': 0.09460297226905823, 'Cause of Failure: Design Flaw': 0.09302113205194473, 'Total Cost Incurred': 0.056892357766628265}",0,0,1,0,0,0,0,0,0,0,0
"SKARGA CI­®KO ODPALA, ALE TYLKO NA ZIMNYM CPRZ blokuje si² rozrusznik KORECTA wymiana rozrusznika",STARTER MOTOR ASSY,BLOCKAGE,STARTER MOTOR,1.0,173.501118,"COMPLAINT  CI®KO STARTS, BUT ONLY WHEN COLD  CPRZ starter is blocked  CORRECTION  starter replacement","{'Type of Failure': 0.1976797729730606, 'Defective Part': 0.17454151809215546, 'Defective Component': 0.17178718745708466, 'Number of Parts Replaced': 0.1268826574087143, 'Cause of Failure: Material Issue': 0.09622158110141754, 'Cause of Failure: Design Flaw': 0.09213316440582275, 'Cause of Failure: Human Error': 0.07868586480617523, 'Total Cost Incurred': 0.06206827238202095}",0,1,0,0,0,0,0,0,0,0,0
"SICAYET ARAÇ HARARET YAPIYOR NEDEN YAPILAN İNCELEMEDE TERMOSTATIN KAPALI KONUMUDA KALDIĞI 
TESPİT EDİLİDİ YAPILANIS TERMOSTAT DEĞİŞTİRİLDİ",THERMOSTAT BODY,OVERHEATING,THERMOSTAT,1.0,23.28,"TEMPERATURE  THE VEHICLE IS GETTING HOT WHY  INSPECTION CONDUCTED THAT THE THERMOSTAT LEFT IN THE CLOSED POSITION. 
IT HAS BEEN DETECTED WHAT HAS BEEN DONE  THERMOSTAT WAS CHANGED","{'Type of Failure': 0.18487253785133362, 'Defective Component': 0.15013733506202698, 'Cause of Failure: Material Issue': 0.12773391604423523, 'Defective Part': 0.11903868615627289, 'Cause of Failure: Human Error': 0.11570130288600922, 'Cause of Failure: Design Flaw': 0.10383933037519455, 'Number of Parts Replaced': 0.10181144624948502, 'Total Cost Incurred': 0.09686540067195892}",0,0,1,0,0,0,0,0,0,0,0
 TIPO DANNO RUMORE IN ACCELERAZIONE.  CAUSA MANICOTTO ASPIRAZIONE INTERCOOLER ROTTO.  CORREZIONE SOSTITUZIONE MANICOTTO ASPIRAZIONE INTERCOOLER.,SLEEVES,BREAK,RUBBER SLEEVE,1.0,156.02, DAMAGE TYPE  NOISE DURING ACCELERATION.  CAUSE  BROKEN INTERCOOLER INTAKE HOSE.  CORRECTION  REPLACEMENT INTERCOOLER INTAKE HOSE.,"{'Defective Component': 0.21461598575115204, 'Type of Failure': 0.19738836586475372, 'Defective Part': 0.19029362499713898, 'Number of Parts Replaced': 0.1331082135438919, 'Cause of Failure: Material Issue': 0.10192273557186127, 'Cause of Failure: Human Error': 0.0630548968911171, 'Cause of Failure: Design Flaw': 0.0524572916328907, 'Total Cost Incurred': 0.0471588596701622}",0,0,1,0,0,0,0,0,0,0,0
INCIDENT LE VEHICULE NE DEMARRE PLUS ( ANS 8001675099 ) CAUSE . SOLUTION REMORQUAGE DU VEHICULE,ANS 24H RECOVERY CHARGE,MISCELLANEOUS,SENSOR,0.0,472.5,INCIDENT  THE VEHICLE NO LONGER STARTS (ANS 8001675099)  CAUSE . SOLUTION  TOWING THE VEHICLE,"{'Type of Failure': 0.22121790051460266, 'Cause of Failure: Material Issue': 0.16339413821697235, 'Defective Component': 0.15774497389793396, 'Defective Part': 0.12999509274959564, 'Number of Parts Replaced': 0.11888150125741959, 'Total Cost Incurred': 0.08262231945991516, 'Cause of Failure: Human Error': 0.0724664032459259, 'Cause of Failure: Design Flaw': 0.05367768928408623}",0,0,1,0,0,0,0,0,0,0,0
"Feil EDC Lampe lyser Årsak Lest ut feil med UDT,feil på catalyst efficiency (code 000BEA-02)
Sett på parametere. Feilsøkt og funnet brudd i fremre lambda sensor. Korreksjon skiftet fremre lambda sensor og Slettet feil i motorstyreenhet, 
prøvekjørt bil, ingen feil kom tilbake.",OXYGEN SENSOR,BREAK,LAMBDA SENSOR,2.0,533.96,"Error  EDC Lamp lights up  Reason Read out error with UDT, error on catalyst efficiency (code 000BEA- 02)
Set parameters. Troubleshoot and found a break in the front lambda sensor. Correction  changed the front lambda sensor and deleted the error in the engine control unit, 
test drive car, no fault returned.","{'Type of Failure': 0.1854299008846283, 'Defective Component': 0.16619469225406647, 'Defective Part': 0.14461590349674225, 'Cause of Failure: Material Issue': 0.11907888203859329, 'Cause of Failure: Design Flaw': 0.11517764627933502, 'Number of Parts Replaced': 0.10183564573526382, 'Cause of Failure: Human Error': 0.09729914367198944, 'Total Cost Incurred': 0.07036815583705902}",0,0,1,0,0,0,0,0,0,0,0
"REKL BREMSE HA WIRD HEISS GRUND BREMSSATTEL BLOCKIERT KORRECTUR BREMSANLAGE ÜBERPRÜFT
GEFÜHRTES VERFAHREN GEMÄSS ETIM
BREMSSATTEL ERNEUERT",BRAKE CALIPER,BLOCKAGE,BRAKE SADDLE,2.0,590.1,"REKL  BRAKE HA GET HOT  REASON BRAKE CALIPER BLOCKED  CORRECTION  BRAKE SYSTEM CHECKED
GUIDED PROCESS ACCORDING TO ETIM
BRAKE CALIPER RENEWED","{'Number of Parts Replaced': 0.21273261308670044, 'Type of Failure': 0.19450940191745758, 'Defective Component': 0.1373613029718399, 'Defective Part': 0.11565296351909637, 'Cause of Failure: Material Issue': 0.10598200559616089, 'Total Cost Incurred': 0.08376606553792953, 'Cause of Failure: Human Error': 0.08357664197683334, 'Cause of Failure: Design Flaw': 0.06641897559165955}",0,0,1,0,0,0,0,0,0,0,0
"REKL FEHLERMELDUNG CLUSTER/ KEINE FEHLERMELDUNG IM 
STEUERGERAET HINTERLEGT: UPDATE DURCHGEFUEHRT. KEINE 
FEHLERMELDUNG MEHR GRUND FEHLERMELDUNG CLUSTER/ KEINE FEHLERMELDUNG IM 
STEUERGERAET HINTERLEGT: UPDATE DURCHGEFUEHRT. KEINE 
FEHLERMELDUNG MEHR KORRECTUR FEHLERMELDUNG CLUSTER/ KEINE FEHLERMELDUNG IM 
STEUERGERAET HINTERLEGT: UPDATE DURCHGEFUEHRT. KEINE 
FEHLERMELDUNG MEHR",INDICATORS INSTRUMENT,INCORRECT ADJUSTMENT,CLUSTER,0.0,46.0,"REKL  ERROR MESSAGE CLUSTER/ NO ERROR MESSAGE IN 
CONTROL UNIT DEPOSITED: UPDATE PERFORMED. NO 
ERROR MESSAGE MORE REASON  ERROR MESSAGE CLUSTER/ NO ERROR MESSAGE IN 
CONTROL UNIT DEPOSITED: UPDATE PERFORMED. NO 
ERROR MESSAGE MORE CORRECTION  ERROR MESSAGE CLUSTER/ NO ERROR MESSAGE IN 
CONTROL UNIT DEPOSITED: UPDATE PERFORMED. NO 
ERROR MESSAGE MORE","{'Type of Failure': 0.1409219354391098, 'Total Cost Incurred': 0.13277402520179749, 'Defective Part': 0.12543246150016785, 'Defective Component': 0.123727947473526, 'Cause of Failure: Design Flaw': 0.12227903306484222, 'Cause of Failure: Material Issue': 0.12050128728151321, 'Cause of Failure: Human Error': 0.120172418653965, 'Number of Parts Replaced': 0.11419086903333664}",0,0,1,0,0,0,0,0,0,0,0
" REKL ABSCHLEPPKOSTEN VOM PANNENORT WISDRUFF,SACHSENALLEE1 ZU JAWLA DRESDEN  GRUND ABSCHLEPPKOSTEN VOM PANNENORT WISDRUFF,SACHSENALLEE1 ZU JAWLA DRESDEN ++++ FAHRZEUG HAT VORNE LINKS RADLAGESCHADEN  KORRECTUR ABSCHLEPPKOSTEN VOM PANNENORT WISDRUFF,SACHSENALLEE1 ZU JAWLA DRESDEN ++++ FAHRZEUG HAT VORNE LINKS RADLAGESCHADEN ++++ RADLAGER VO RNE LINKS ERSETZEN",ANS 24H RECOVERY CHARGE,PREVENTIVE OPERATION,WHEEL BEARINGS,0.0,562.5," REKL  TOWING COSTS FROM THE BREAKDOWN WISDRUFF, SACHSENALLEE1 TO JAWLA DRESDEN   REASON TOWING COSTS FROM THE BREAKDOWN WISDRUFF, SACHSENALLEE1 TO JAWLA DRESDEN ++++ VEHICLE HAS DAMAGE TO FRONT LEFT WHEEL POSITION  CORRECTION  TOWING COSTS FROM THE BREAKDOWN WISDRUFF, SACHSENALLEE1 TO JAWLA DRESDEN ++++ VEHICLE HAS FRONT LEFT WHEEL BEARING DAMAGE ++++ FRONT LEFT WHEEL BEARING SUBSTITUTE","{'Cause of Failure: Human Error': 0.13232941925525665, 'Cause of Failure: Material Issue': 0.13106481730937958, 'Total Cost Incurred': 0.1303958147764206, 'Type of Failure': 0.12921658158302307, 'Cause of Failure: Design Flaw': 0.12570121884346008, 'Defective Component': 0.12537653744220734, 'Defective Part': 0.11910600960254669, 'Number of Parts Replaced': 0.10680960863828659}",0,0,1,0,0,0,0,0,0,0,0
