Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Extracted_Entities
ENG.CONTR.UNIT CABLES,DEFECTIVE CONTACTS,MOTOR HARNESS,0.0,170.05,REKL  EDC cables are frayed  REASON Cable frayed on the EGR and the fan clutch  CORRECTION  Cable set removed and repaired,"[('EGR', 'ORG'), ('CORRECTION  Cable', 'ORG')]"
ALTERNATOR ASSEMBLY,BURNT-OUT,ALTERNATOR,1.0,352.15," DAMAGE TYPE  DOSSIER 1632577, VEHICLE, DOES NOT START   CAUSE 5802266117 ALTERNATOR   CORRECTION 295501104 U.D.T. STATION PREPARATION 295567104 DIAGNOSIS OF THE ENGINE EDC SYSTEM 505110100 S-R AIR FILTER ASSEMBLY 760310100 S-R TO THE TERNATOR 295567115 DIAGNOSIS OF THE ENGINE EDC SYSTEM AFTER REPAIR 295567152 READING THE FAULT MEMORY AND DELETING","[('1632577', 'DATE'), ('VEHICLE', 'ORG'), ('CAUSE', 'ORG'), ('295501104', 'DATE'), ('295567104', 'DATE'), ('295567115', 'DATE'), ('295567152', 'DATE')]"
CONDENSOR,BREAK,AIR COND.CONDENSER,2.0,495.74," DAMAGE TYPE  THE AIR CONDITIONER DOES NOT WORK.  CAUSE  IT WAS FOUND THAT THE CONDENSER MOUNTED IN FRONT OF THE WATER RADIATOR WAS BROKEN (FACTORY DEFECT), CONSEQUENTLY THE CLIMATE DID NOT WORK. THE CUSTOMER HAS NEVER USED THE A/C, THEREFORE THE DEFECT HAS ONLY APPEARED NOW.  CORRECTION  THE CONDENSER IS REPLACED AND THE GAS IS REFILLED.","[('CAUSE', 'ORG'), ('CONSEQUENTLY THE CLIMATE DID NOT', 'ORG'), ('CUSTOMER', 'ORG'), ('CORRECTION', 'PERSON'), ('CONDENSER', 'ORG'), ('GAS', 'ORG')]"
BATTERY,SHORT CIRCUIT,BATTERY,2.0,284.98,"INCIDENT  VEHICLE IN BREAKDOWN IN CHERBOURG NO LONGER STARTS  CAUSE BATTERY SHORT CIRCUIT  SOLUTION .VEHICLE IN BREAKDOWN IN CHERBOURGNE NO MORE STARTS (Time: 
.40)D-R 1 ACCUMULATOR (Time: .20)CABLE EFFICIENCY CONTROL 
MASS(Time: .20)CONT R.EFFIC. CONTACTS CONNECTED 
ELECTRICAL INST.(Time: .20) WATER RPL ACCUMULATOR CONT. 
DISTILLED(Time: .20)CONT.DENSITY ELECTROLYTE AND CO 
NT.TERMINALS","[('BREAKDOWN', 'FAC'), ('CIRCUIT', 'ORG'), ('BREAKDOWN IN CHERBOURGNE', 'ORG')]"
LOCK RODS,LOOSE RETAINER,SHIFT ROD,0.0,34.72,REKL  Check rear door closure  REASON Rear door closing bowden cable loose  CORRECTION Attach Bowden cable,"[('CORRECTION Attach Bowden', 'ORG')]"
CYLINDER HEAD PLUGS,LOOSE RETAINER,THREADED PLUG,0.0,150.517894, COMPLAINT  Traces of fluid on the engine block   CPRZ Loose threaded connection of the head water plug   CORRECTION  Improved fixing of the water plug,"[('COMPLAINT  Traces', 'ORG'), ('CORRECTION', 'PERSON')]"
SENSOR,SHORT CIRCUIT,SENSOR,1.0,108.901052," COMPLAINT  ðABS, ASR INDICATOR IS ON   CPRZ SHORT CIRCUIT IN ABS SENSOR LT   CORRECTION  ABS SENSOR REPLACEMENT","[('COMPLAINT', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('CORRECTION', 'PERSON'), ('SENSOR', 'DEFECTIVE_PART')]"
AUTO PILOT,"CONTROL,VERIFICATION",AUTOM.TRANSMISSION,0.0,153.6, REKL  VEHICLE HAS SHIFT PROBLEMS   REASON ERROR TRANSMISSION OIL TEMPERATURE TOO HIGH IS DISPLAYED - ERROR IN TRANSMISSION CONTROL UNIT   CORRECTION  LOOSE CARDAN SHAFT ATTACHED TO VEHICLE / ERROR MEMORY READ WITH UDT / GEAR OIL TEMP. CHECKED USING UDT (OK) / VEHICLE LEFT TO WARM UP AND OIL LEVEL CHECKED (OK) - NO FAULT COULD BE DETECTED,"[('VEHICLE HAS', 'ORG'), ('CORRECTION  LOOSE CARDAN', 'ORG'), ('VEHICLE / ERROR', 'ORG')]"
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,FLEXIBLE CONTROL,0.0,224.252632, COMPLAINT  TOWING THE VEHICLE   CPRZ TOWING   CORRECTION  TOWING,"[('COMPLAINT  TOWING', 'ORG')]"
LOCK,BLOCKAGE,DOOR LOCK,1.0,27.58,"COMPLAINT The sliding door is opening with difficulties.
 CAUSE The top lock of the sliding door is blocked and causes the problem. CORRECTION The top lock of the sliding door is for renew.",[]
BATTERY LEADS,LOW OUTPUT/EFFICIENCY,BATTERY,1.0,409.9,REKL  Vehicle won't start  REASON Vehicle won't start - battery defective  CORRECTION  1 BATTERY A-E,"[('Vehicle', 'ORG'), ('Vehicle', 'PERSON'), ('1', 'CARDINAL')]"
CYLINDER HEAD PLUGS,DEFORMED,THREADED PLUG,1.0,116.87," DAMAGE TYPE  ENGINE OIL LEAK  CAUSE  ENGINE OIL LEAK, CHECK FAULT AND FIND A LEAK FROM A DEFORMED OIL CAP ON THE HEAD  CORRECTION  REPLACEMENT OF THE OIL CAP ON THE HEAD, WASHING OF DIRTY PARTS AND GENERAL WASHING OF THE HEAD/ENGINE AT THE END OF PROCESSING (WE REQUEST THAT THE EXCESS TIME FOR REPLACING THE CAP BE RECOGNIZED IN THE ECONOMY AS IT IS IT WAS IN A POSITION WHERE WE WOULD HAVE TO REMOVE THE HEAD TO BE ABLE TO REPLACE IT BUT WE MANAGED TO DO SO BY REMOVING INTERFERING PARTICULARS)","[('LEAK', 'PERSON'), ('CAUSE', 'ORG'), ('LEAK', 'PERSON'), ('WASHING', 'ORG')]"
CABLE TERMINAL,CAGE COLLAPSE,ECU-INTERCONNECTION,1.0,51.99,"INCIDENT  VEHICLE DOES NOT START CAUSE  BATTERY TERMINAL DISLOCATION  SOLUTION CONTROL MASS
CONNECTION CONTROL
REMOVAL REFITTING BATTERY TERMINAL
REPLACING A FUSE",[]
INPUT SHAFT BEARINGS,DEFORMED,BALL BEARING,1.0,195.480986,"COMPLAINT  Noisy gearbox operation  CPRZ Deformation of the rolling elements of the input shaft bearing 
gearbox CORRECTION  Replacing the input shaft bearing","[('COMPLAINT', 'ORG')]"
INJECTOR DELIVERY PIPES,LOOSE RETAINER,INJECT.LINE SET,0.0,255.045045," INCIDENT  FUEL LEAK   CAUSE LOOSENING OF THE PIPE FASTENERS 4 INJECTOR PIPES KIT   SOLUTION  FUEL LEAK CHECK, D-R 4 INJECTOR PIPES LINES, U.DT. TEST, ENGINE WASH AFTER REPAIR.","[('4', 'CARDINAL'), ('REPAIR', 'ORG')]"
LEAF SPRINGS REAR AXLE,BREAK,LEAF SPRING,11.0,427.35,"COMPLAINT The vehicle is tilted to the drivers side. Suspension is not level. CAUSE Broken rear spring, left side. CORRECTION Replacing rear spring 5801526306","[('CAUSE Broken', 'PERSON'), ('CORRECTION Replacing', 'ORG'), ('5801526306', 'CARDINAL')]"
NOX DETECTION SENSOR,INTERFERENCE,SENSOR,0.0,141.3,"COMPLAINT  Stranding: Loss of power and does not go faster than 35 km/h
 CAUSE  Software update
 CORRECTION  Read system/find fault, check contacts and wiring 
and perform software updates. Perform a final test drive inspection.

Used for troubleshooting and test drive economy.","[('35 km', 'QUANTITY'), ('Software', 'ORG')]"
PIPES AD-BLUE,FLUID LEAKS,DELIVERY LINE,1.0,253.94, REKL  LINE AD BLUE TO DOSING MODULE LEAKING   REASON LINE AD BLUE TO DOSING MODULE LEAKING   CORRECTION  LINE AD BLUE TO DOSING MODULE LEAKING,[]
WINDOW REGULATOR SWITCH,BREAK,SWITCHGEAR,1.0,55.19,"CLAIM  BROKEN WINDOW REGULATOR CONTROL CAUSE  BROKEN WINDOW REGULATOR BUTTON
 SOLUTION  REPLACE WINDOW REGULATOR CONTROL","[('CLAIM  BROKEN WINDOW', 'PERSON')]"
ENGINE OIL LEVEL SWITCH,DEFECTIVE CONTACTS,SENSOR,1.0,195.29,"REKL  Error EDC, engine oil level  REASON Oil level sensor defective  CORRECTION  Oil level sensor replaced","[('REKL  Error EDC', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('CORRECTION  Oil', 'ORG'), ('sensor', 'DEFECTIVE_PART')]"
INJECTOR RETURN PIPES,FUEL LEAKS,FUEL LINE,2.0,691.08,DAMAGE TYPE  FUEL LEAK AND CLUTCH GROUP CONTAMINATION CAUSE  BROKEN INJECTOR RECOVERY PIPE  CORRECTION PIPE REPLACED RECOVERY AND CLUTCH ASSEMBLY,"[('CLUTCH GROUP CONTAMINATION', 'ORG')]"
PIPES AD-BLUE,FLUID LEAKS,DELIVERY LINE,3.0,302.32,"REKL  ENGINE CHECK AND AD-BLUE CHECK LIGHTS UP 
DISPLAY REASON  NO ENGINE START DUE TO SCR ERROR AD-BLUE CABLE, AD-
BLUE LINE LEAKING CORRECTION  READ/DELETE ERROR MEMORY, AD-BLUE LINE 
RENEW","[('REKL  ENGINE CHECK', 'ORG')]"
WHEEL RIM,DEFECT,DISC WHEEL,1.0,106.637475, COMPLAINT  AIR LEAKS FRONT STG WHEEL  CAUSES  CRACKED RIM  CORRECTION REPLACED RIM,"[('COMPLAINT', 'ORG')]"
MULTI-CONDUCTOR PLUG,DEFECTIVE CONTACTS,WIRE/CABLE,0.0,74.43,"REKL  Trailer socket partially o.F. REASON  Pin loose in socket  CORRECTION 769110KAB: Pin reattached
769110BEF: Functional test for trailer operation carried out.
Circuit check of socket carried out.
Wiring, connectors, and fuse checked.","[('REKL', 'ORG'), ('Trailer', 'ORG')]"
OXYGEN SENSOR,SHORT CIRCUIT,SENSOR,1.0,20.6892,"TEMPERATURE  DISPLAY FAULT LIGHTS ARE ON  WHY CHECKS DECLARED THAT THE VEHICLE'S OXYGEN SENSOR WAS SHORT. 
TECHNICIANS WHO MADE INCORRECT MEASUREMENTS AS A RESULT OF THE CIRCUIT 
DETECTED BY DONE  OXYGEN SENSOR HAS BEEN CHANGED. FAILURE HAS BEEN FIXED","[('TEMPERATURE', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('CIRCUIT', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('FAILURE', 'ORG')]"
ELECTRO CONDIT.FAN,DEFECT,ELECTROFAN,1.0,326.25625,"COMPLAINT TRANSMISSION OVERHEAT LIGHT COMING ON DASH 
INTERMITTENTLY UNDER LOAD. CAUSE THERMO FAN HAS INTERNAL ELECTRICAL FAILURE CORRECTION REMOVED X3 BOLTS HOLDING IN THE FAN, REMOVED & 
UNPLUGGED FAN & INSTALLED NEW FAN. RECONNECTED &
TENSIONED X3 BOLTS. ALL OK","[('COMPLAINT TRANSMISSION OVERHEAT', 'ORG'), ('CAUSE THERMO FAN HAS INTERNAL ELECTRICAL', 'ORG'), ('X3 BOLTS', 'PERSON'), ('FAN', 'ORG'), ('REMOVED & \nUNPLUGGED FAN & INSTALLED NEW FAN', 'ORG'), ('RECONNECTED &\n', 'ORG'), ('TENSIONED X3 BOLTS', 'ORG')]"
ENGINE DRIVE CONTR.UNIT,DEFECT,ECU-ENGINE,0.0,31.71141," COMPLAINT  Engine error, power limitation is on   CPRZ Incorrect engine EDC software   CORRECTION  Service afterburning of the catalytic converter as an emergency repair THD 106643666","[('COMPLAINT', 'ORG'), ('CORRECTION  Service', 'ORG'), ('106643666', 'DATE')]"
ANS 24 HOURS,MISCELLANEOUS,MOTOR HARNESS,0.0,127.931034, COMPLAINT JOURNEY OUT  CAUSE JOURNEY OUT  CORRECTION JOURNEY OUT,[]
ACC SENSOR,DEFECT,SENSOR,0.0,27.027368," COMPLAINT  AEBS FAILURE INDICATOR INDICATOR IS ON   CPRZ CAN LINE NODE ERROR   CORRECTION  DIAGNOSTICS, CHECK THE CAN LINE ELECTRICAL INSTALLATION FOR ANY ERRORS, ERASING THE ERRORS","[('COMPLAINT', 'ORG'), ('AEBS FAILURE', 'PERSON'), ('THE CAN LINE ELECTRICAL', 'ORG'), ('ERASING THE ERRORS', 'ORG')]"
PIPES,BREAK,WATER PIPE,3.0,27.540303,COMPLAINT The pipe is cracked next to fixing place. CAUSE The pipe is cracked next to fixing place. CORRECTION Replacement of pipe.,"[('CORRECTION Replacement', 'ORG')]"
OXYGEN SENSOR,DEFECTIVE CONTACTS,SENSOR,1.0,143.82,REKL  LAMDA PROBE INTERNAL DISTURBANCE ERN   GROUND LAMDA PROBE INTERNAL DISTURBANCE ERN    CORRECTION  LAMDA PROBE INTERNAL FAILURE ERN,"[('REKL  LAMDA PROBE INTERNAL DISTURBANCE ERN   GROUND LAMDA PROBE INTERNAL DISTURBANCE ERN', 'ORG')]"
ANS 24 HOURS,LOW OUTPUT/EFFICIENCY,BATTERY,0.0,137.52,"REKL  ICC breakdown / engine won't start
Breakdown location: 15366 Hoppegarten Industriestr. 18
Operating time: 4:00 p.m. - 5:15 p.m
Fitter: Mr. Miers
Total km driven: 32 km REASON  Battery has insufficient starting power  CORRECTION Trip to external assembly, findings, starting aid","[('REKL  ICC', 'ORG'), ('Breakdown', 'PERSON'), ('15366', 'DATE'), ('Hoppegarten Industriestr', 'PERSON'), ('18', 'CARDINAL'), ('4:00 p.m. - 5:15', 'TIME'), ('Miers', 'PERSON'), ('32 km REASON  ', 'QUANTITY'), ('Battery', 'LOC')]"
BEARINGS,TOO LOOSE/FLEXIBLE,WHEEL BEARINGS,4.0,127.76,"COMPLAINT  Roaring noise from the right front  CPRZ Front wheel bearing noise  CORRECTION  Verification of the problem, disassembly of the wheel, replacement of the bearing and ring 
bearing protection, hub cap and hub nut","[('COMPLAINT', 'ORG'), ('noise', 'TYPE_OF_FAILURE'), ('noise', 'TYPE_OF_FAILURE')]"
ENGINE BLOCK,CRACKED,CRANKCASE,12.5,11834.09,"REKL  Reported damage to vehicle and no longer starts and engine turns 
no longer (blocked) REASON  Crack on the third cylinder in the cylinder wall on the engine block  CORRECTION WPA number: 106098102 
Dismantling work on the engine of the towed vehicle 
carry out.
With damage determination and a WPA opening 106098102:
With photo documentation.
Dismantle the front of the vehicle.
Dismantle the cylinder head. Crack in the cylinder wall on the third cylinder 
on the engine block.
 According to the WPA, replace the engine.
Remove and install engine on vehicle. Various additional work 
carry out to remove and install the engine.
Reassemble the old engine part.
Check fluid levels and top up.
Carry out an engine wash on the vehicle.
Perform parameter rest with Easy Station.
Fill up with diesel fuel for the test drive.
Carry out a functional test and a test drive.
Finally, carry out a leak check.","[('third', 'ORDINAL'), ('CORRECTION WPA', 'ORG'), ('106098102', 'DATE'), ('WPA', 'ORG'), ('third', 'ORDINAL'), ('WPA', 'ORG'), ('Remove', 'PERSON'), ('Easy Station', 'PERSON')]"
WINCH ASSEMBLY,LOW OUTPUT/EFFICIENCY,WHEEL WINCH,1.0,238.52, CLAIM  SPARE WHEEL HAS FALLEN ON THE ROAD   CAUSE CHECK SUPPORT STATUS.  SOLUTION  REPLACE SPARE WHEEL SUPPORT,[]
SLIDING DOOR RUNNERS,LOOSE RETAINER,HEXAGON BOLT,0.0,56.895349,"COMPLAINT Side load door will not open CAUSE Inspect and find bottom roller come adrift and latches loose CORRECTION Refit and secure runner, secure and adjust latches, Test 
operation of door, all okay.","[('COMPLAINT', 'ORG'), ('CAUSE Inspect', 'ORG'), ('CORRECTION Refit', 'PERSON')]"
RADIATOR SLEEVES,CRACKED,WATER HOSE,3.0,108.83,"COMPLAIN  Coolant leaking CAUSE  coolant leakage check - leakage from the lower hose of the radiator - 
coolant leak check CORRECTION  V-N of the cooling mixture, D-M of the lower hose of the radiator, replenishment 
cooling mixture","[('COMPLAIN  Coolant', 'ORG'), ('CAUSE', 'ORG'), ('CORRECTION', 'PERSON')]"
PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,2.0,208.83, REKL  CAR ONLY DRIVES 30 KM/H   REASON AD BLUE LINE DEFECTIVE   CORRECTION  DIAGNOSIS MADE. AD BLUE LINE RENEWED LINE ONLY CAME ON 05/13/2022,"[('CAR', 'ORG'), ('30', 'CARDINAL'), ('KM/H   REASON AD BLUE LINE', 'ORG'), ('CORRECTION', 'PERSON')]"
CHASSIS LOOM,SHORT CIRCUIT,FRAME WIRING,61.0,134.968263,"COMPLAINT Non starting CAUSE Short circuit on loom to gearbox due to wire loom chaffing against body CORRECTION R&I grill and repair damaged wiring on chassis loom
-EXTRA LABOUR for carry out it test and open and repair damaged wiring 
in chassis loom 3.00hrs","[('COMPLAINT Non', 'ORG'), ('CORRECTION R&I', 'ORG'), ('3.00hrs', 'CARDINAL')]"
DAMPER,CRACKED,SPRING,1.0,85.337209, COMPLAINT BONNET NOT STAYING OPEN  CAUSE OS BONNET SPRING CRACKED  CORRECTION R&R OS BONNET SPRING,"[('CAUSE', 'ORG')]"
REAR CABLE,BLOCKAGE,HAND BRAKE CABLE,4.0,89.08,REKL  Handbrake not working / blocked  REASON Handbrake cables stuck/blocked  CORRECTION  Replace handbrake cables on the left and right,"[('CORRECTION  Replace', 'ORG')]"
ELE./MECH/POWER STEERING,DEFECT,POWER STEERING,0.0,34.5, REKL  EPS error message in the display - update necessary   REASON EPS control unit sends error message   CORRECTION  Perform update EPS,"[('REKL', 'ORG'), ('EPS', 'ORG'), ('EPS', 'ORG'), ('CORRECTION', 'PERSON'), ('EPS', 'ORG')]"
PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,163.988813,COMPLAINT  The Adblue light is on  CPRZ Electrical failure of the heater in the Adblue supply cable  CORRECTION  Replacement of the Adblue supply cable,"[('COMPLAINT', 'ORG'), ('Adblue', 'ORG'), ('Adblue', 'ORG'), ('CORRECTION  Replacement of the Adblue', 'ORG')]"
SHIFT LEVER BOOT,BREAK,GEAR LEVER KNOB,1.0,18.073825,"COMPLAINT  The gear lever bellows have worn out  CPRZ Gear lever bellows worn/cracked, defective 
material CORRECTION  Replacement of the gear lever housing","[('COMPLAINT', 'ORG'), ('material', 'CAUSE_OF_FAILURE'), ('CORRECTION', 'PERSON')]"
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,VALVE HOUSING,1.0,92.841163,COMPLAINT  TOWING THE VEHICLE CPPR  TOWING THE VEHICLE  CORRECTION TOWING A VEHICLE,"[('COMPLAINT  TOWING THE VEHICLE CPPR  TOWING', 'ORG'), ('VEHICLE', 'ORG')]"
PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,1.0,118.888144,"COMPLAINT  No power, particulate filter light is on  CPRZ Damaged AdBlue system line heater  CORRECTION  Replacing the heater cable","[('COMPLAINT', 'ORG'), ('CORRECTION', 'PERSON')]"
FLANGE SEAL,OIL LEAKS,SHAFT SEAL,2.5,149.21,"REKL  Oil stains under the vehicle  REASON Oil loss on the drive flange, simmering leaking  CORRECTION  Rear axle raised, cardan shaft removed, installed, flange removed 
Differential removed, installed and Simmering replaced, oil level 
Rear axle checked","[('REKL  Oil', 'ORG'), ('CORRECTION  Rear axle raised', 'ORG'), ('cardan shaft', 'PERSON'), ('Simmering', 'PERSON')]"
TURBO CHARGER,BLOCKAGE,EXCHANGE TURBOBLOWER,15.0,1433.75,REKL  Engine control lights up permanently  REASON Process survey and contact THD 105918106  CORRECTION  TURBOCHARGER A-E,"[('REKL  Engine', 'ORG'), ('105918106', 'DATE')]"
PIPES,"DIRT,FOREIGN MATTERS",PIPE,0.0,359.58,"REKL  Error display EDC  REASON Differential pressure sensor lines dirty  CORRECTION Particle filter and lines A-E, cleaned, regeneration carried out","[('REKL  Error', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('CORRECTION Particle', 'ORG')]"
RADIATOR,DEFORMED,WATER RADIATOR,2.0,400.40842,COMPLAINT  VERIFICATION (REFRIGERANT FLUID LEAK)  CPRZ DEFORMED COOLING DIFFICULTY SEAL AT THE JOINTS  CORRECTION  REPLACEMENT OF A NEW WATER COOLER,"[('COMPLAINT', 'ORG')]"
SENSOR,DEFECTIVE CONTACTS,SENSOR,1.0,118.41, COMPLAINT VEHICLE SPEED SOMETIMES SIMOTANEOUSLY IS INCREASING ONLY ON IC  CAUSE REAR RIGHT ABS SENSOR DEFECTIVE CONTACTS  CORRECTION REPLACE SENSOR,"[('COMPLAINT VEHICLE SPEED', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART')]"
ENGINE DRIVE CONTR.UNIT,DEFECT,ELECTR. CONTR. UNIT,0.0,73.5," DAMAGE TYPE  CONTROL ROOM: 8001729296 ENGINE LIGHT ON   CAUSE ENGINE ECU IN ERROR   CORRECTION  INJECTION DIAGNOSIS, SYSTEM CHECK, ERROR CLEARING, PARAMETER RESETTING, FORCED REGENERATION, VEHICLE TEST","[('8001729296', 'CARDINAL'), ('CORRECTION', 'PERSON'), ('ERROR CLEARING', 'ORG'), ('VEHICLE TEST', 'ORG')]"
ENGINE DRIVE CONTR.UNIT,INCORRECT ADJUSTMENT,ELECTR. CONTR. UNIT,0.0,60.0, DAMAGE TYPE  SCR FAULT - AD BLUE DOSING SYSTEM   CAUSE EDC CONTROL UNIT SOFTWARE MALFUNCTION   CORRECTION  UDST TEST PERFORMED WITH FIRST FILLING AS ORDERED BY SZM MR. TORAROLO FOLLOWING THD 107062648,"[('CORRECTION', 'PERSON'), ('FIRST', 'ORDINAL'), ('SZM MR', 'ORG'), ('107062648', 'DATE')]"
PIPES AD-BLUE,LOW OUTPUT/EFFICIENCY,DELIVERY LINE,1.0,166.93," DAMAGE TYPE  ENGINE LIGHT ON  CAUSE  ADBLUE SYSTEM ERROR   CORRECTION READING FAULT MEMORY ENGINE ECU, WIZARD PROCEDURE 001102-1F EXECUTED. REPLACEMENT PROBE AND ADLBUE HEATING PIPE. TEST ADBLUE SYSTEM.","[('CAUSE', 'ORG'), ('1F', 'CARDINAL')]"
FAN,DEFECT,VENTILATOR CONTRO,1.0,361.803132," COMPLAINT  MAIN OPERATION OF THE VISCOTIC COUPLING, REPLACING THE VISCOSE FAN   CPRZ OPERATION OF THE VISCOTIC COUPLING , REPLACING THE VISCOSE FAN  CORRECTION  MAIN OPERATION OF THE VISCOTIC COUPLING, REPLACING THE VISCOSE FAN","[('COMPLAINT', 'ORG'), ('THE VISCOTIC COUPLING', 'ORG'), ('THE VISCOTIC COUPLING', 'ORG'), ('FAN', 'ORG'), ('THE VISCOTIC COUPLING', 'ORG')]"
REAR VAN DOORS,DEFECTIVE CLOSURE/OPENING,DOOR LOCK,0.0,36.5," REKL  - RIGHT REAR DOOR DOES NOT CLOSE, CHECK   REASON - DOOR LOCK ADJUSTED AT TOP   CORRECTION  - ADJUST DOOR LOCK TOP - CHECK AND ADJUST ENTIRE REAR DOOR CLOSING","[('CORRECTION', 'PERSON')]"
ARM REST,DEFORMED,ARMREST,1.0,72.898947," COMPLAINT  LOOSE LEFT SEAT ARMREST   CPRZ DEFORMED ARMREST, FELL OFF, MISSING   CORRECTION  INSTALLING A NEW ARMREST","[('COMPLAINT  LOOSE LEFT SEAT ARMREST', 'ORG'), ('FELL OFF', 'ORG')]"
PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,1.0,89.669474,"COMPLAINT  ADBLUE HEATER REPLACEMENT A RESISTOR IS INSTALLED
 CPRZ  ADDITIONAL REPAIR ADBLUE HEATERS  CORRECTION ADBLUE CABLE REPLACEMENT","[('COMPLAINT', 'ORG'), ('RESISTOR', 'ORG')]"
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,LEVEL SENSOR,0.0,285.132383, COMPLAINT  TRACKING BAIA MARE - CLUJ  CAUSES  TOWING BAIA MARE - CLUJ  CORRECTION TREATMENT BAIA MARE - CLUJ,"[('COMPLAINT', 'ORG')]"
FRONT RUBBER BLOCKS,DEFORMED,SET OF DOWELS,1.0,202.52,"COMPLAINT  KNOCKING UNDER THE CABIN  CPRZ DEFORMED, VULCANIZED CABIN PILLOWS 
FRONT, THEY KNK WHILE DRIVING CORRECTION  REPLACEMENT OF FRONT CABIN AIR CUSHIONS","[('COMPLAINT', 'ORG')]"
TEMPERATURE SENSOR,DEFECTIVE CONTACTS,SENSOR,1.0,150.928412," COMPLAINT  CHECK LIGHT IS ON, CHECK THE ENGINE   CPRZ FAILURE OF EXHAUST TEMPERATURE SENSOR FOR SCR (RESULT FROM TEMPERATURE CHART)  CORRECTION  ROAD TESTS,SENSOR REPLACEMENT,RESET,THD-106577795","[('COMPLAINT  CHECK', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('CORRECTION', 'PERSON'), ('SENSOR', 'DEFECTIVE_PART'), ('RESET', 'ORG'), ('THD-106577795', 'ORG')]"
PARTICULATE SENSOR,DEFECT,PM SENSOR,1.0,140.16,COMPLAINT  engine light on CAUSE  pm sensor faulty  CORRECTION noun. pm sensor,"[('COMPLAINT', 'ORG'), ('CAUSE', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('sensor', 'DEFECTIVE_PART')]"
GEARBOX CABLES,SHORT CIRCUIT,DASHBOARD WIRING,7.0,251.88,"REKL  VEHICLE DOES NOT GIVE IN GEAR  REASON SHORT CIRCUIT IN CABLE HARNESS TO 
GEAR SELECTION SWITCH AUTO-MATIC CORRECTION  TRANSMISSION WIRING 
MEASURED, SHORT CIRCUIT TO 
GEAR SELECTOR SWITCH (CABLE CRUSHED)
ELIMINATED, INCLUDING EVERYTHING 
FITTING COVERS GEN A-E","[('VEHICLE', 'ORG'), ('CIRCUIT IN CABLE', 'ORG'), ('CIRCUIT', 'ORG')]"
AIR CONDITIONER,LOW OUTPUT/EFFICIENCY,AIR CONDITIONER,0.0,179.189189, REKL  AIR CONDITIONING IS NOT WORKING AT TIMES   REASON AIR CONDITIONING IS NOT WORKING AT TIMES. ERROR MEMORY READ AND DIAGNOSIS PERFORMED. PRESSURE ON THE AIR CONDITIONER CHECK T. PRESSURE TOO HIGH  CORRECTION  AIR CONDITIONING IS NOT WORKING AT TIMES. ERROR MEMORY READ AND DIAGNOSIS PERFORMED. CHECK THE PRESSURE ON THE AIR CONDITIONING SYSTEM. PRESSURE TOO HIGH. AIR CONDITIONER DRAINED AND REFILLED. FUNCTIONAL CHECK PERFORMED.,"[('REKL  ', 'ORG')]"
PREHEATER PLUGS,SHORT CIRCUIT,HEATER PLUG,1.0,185.65, DAMAGE TYPE  GLOW LIGHT ON  CAUSE  SHORT CIRCUIT IN A GLOW PLUG   CORRECTION DIAGNOSIS WITH UDT - WIZED PROCEDURE - CHECK ELECTRICAL SYSTEM AS PER PROCEDURE - CHECK CONTROL UNIT AND GLOW PLUG - REPLACE CAN DELETTA IN BROKEN,"[('CAUSE', 'ORG')]"
FLANGE SEAL,DEFECT,SHAFT SEAL,1.0,53.610526,"COMPLAINT  OIL LEAKS FROM THE REAR AXLE  CPRZ DEFECTIVE, LEAKING REAR SHAFT SEAL 
BRIDGE DEFORMED SEALING LIP CORRECTION  REPLACEMENT OF SEALER","[('COMPLAINT', 'ORG')]"
AIR CONDITIONER,WEAR,HEATING TUBE,1.0,193.13125,"COMPLAINT Check and diagnose air conditioning system not cold CAUSE Check and pressure test system . Found system low on gas. carry out 
leak test and found A/C discharge hose leaking (compressor to 
condenser) CORRECTION Recover all gas and replace Discharge hose. Replenish with R134A 
and test system","[('COMPLAINT Check', 'ORG'), ('CORRECTION Recover', 'PERSON'), ('Discharge hose', 'PERSON'), ('Replenish', 'PERSON')]"
DOOR CONN. FIXED PART,DEFECTIVE CONTACTS,CONNECTION,1.0,45.92,"REKL  Check passenger side sliding door, shows door open  REASON Contact plate on sliding door, defective contact  CORRECTION  Contact plate on sliding door replaced","[('CORRECTION', 'GPE')]"
